問題文	答え	メモ	ジャンル
日本三名園とは、金沢市の兼六園、岡山市の後楽園と水戸市の何でしょう？	偕楽園	「岡」が決まり字です。この3つだと、後楽園か偕楽園が答えになることが多いです。（兼六園が一番有名なので）	
6、28、496のように、その数以外の約数の和がその数と等しくなる数のことを何というでしょう？	完全数	6=1+2+3 のようになる数のことです。6、28、496という数を聞かれることもあるので、覚えておきましょう！「〇〇数」が答えになるクイズは以下にまとめてあります！	
コンビニチェーン店の「セブンイレブン」のロゴの中で、唯一小文字であるアルファベットは何でしょう？	n	理由は「見栄えがいいから」という単純な理由らしいです(笑)	
講道館柔道の創始者であり、日本のオリンピック初参加に尽力したことから、「日本の体育の父」とも呼ばれる柔道家は誰でしょう？	嘉納治五郎	「柔道の父」とも呼ばれています。	
「えたいの知れない不吉な塊が私の心を始終おさえつけていた。」という書き出しで始まる、梶井基次郎かじいもとじろうの小説は何でしょう？	『檸檬』	"他の代表作には『櫻の樹の下には』などがあります。
クイズによく出る書き出しは以下でまとめています。"	
「馴らすことのできない」という意味のオランダ語に由来するという説がある、男勝りの活発な女の子のことを指す言葉は何でしょう？	お転婆	「ontembaar」というオランダ語が由来という説があります。オランダ語由来なのは意外ですね！	
「食べられる国宝」として知られている、ハンガリー固有の希少種の豚は何でしょう？	マンガリッツァ	国宝なのに食べることができるという珍しさからよくクイズに狙われます。	
漢数字の「百」から「一」を引くということから、99歳のお祝いのことを何というでしょう？	白寿	白寿が99歳、米寿が88歳、喜寿が77歳です。よくクイズに出ます。	
地球のマントルと外核の間にある不連続面のことを、アメリカの地質学者の名前から「何不連続面」というでしょう？	グーテンベルク不連続面	地殻とマントルの境は「モホロビチッチ不連続面」、外核と内核の境を「レーマン不連続面」といいます。これら3つの覚え方は以下からどうぞ！	
地球の最高峰の山はエベレストですが、火星の最高峰の山はどこでしょう？	オリンポス山	標高は約21000mで、なんとエレベストの約2.5倍の高さです！山に関するクイズは以下を参照してください！	
陸上の十種競技で、最初に行われるのは100メートル走ですが、最後に行われるのは何でしょう？	1500m走	1日目の最初が100m走、最後が400m走、2日目の最初が110mハードル、最後が1500m走です。この4つは覚えておきましょう！	
ウニ類の咀嚼器官のことを古代ギリシャの哲学者の名前を用いて「何の提灯」と呼ぶでしょう？	アリストテレスの提灯	アリストテレスが最初に記述したことからこう呼ばれています。	
本来は「イノシシを追うための小屋」という意味である、単語の意味を推測するテーブルゲームは何でしょう？	たほいや	問題文では相当簡潔にルールを書いていますが、やってみると面白いです。	
1番から626番まである、作曲家モーツァルトの作品につけられた通し番号のことを「何番号」というでしょう？	ケッヘル番号	ケッヘル番号を25で割って10を足すと、作曲時のモーツァルトのおおよその年齢が割り出せます。	
太平洋赤道域中部から東部にかけて、海面水温が平年より低くなる現象を、「女の子」という意味のスペイン語に由来する言葉で「何現象」というでしょう？	ラニーニャ現象	"海水温度が上がる「エルニーニョ現象」は有名ですが、「ラニーニャ現象」はマイナーです。「低」まで聞かないと確定しないですね。（問題の難易度帯が分かっていればもっと早く押せます。）
よく出る語源問題は以下にまとめてあります。"	
県の木をイチョウとしている都道府県は、東京都、大阪府とどこでしょう？	神奈川県	県の木や鳥・花などたくさんありますが、この問題が一番有名です。焦って「大」より前で押さないようにしましょう。	
「マラソン」の名前の由来となった、紀元前490年に戦いが起きたギリシャの村は何でしょう？	マラトン	言葉の由来はよくクイズで聞かれます。	
「勤勉・倹約」の精神を課したギリシャの都市国家の名前に由来する、非常に厳しい教育のことを指す言葉は何でしょう？	スパルタ	これも言葉の由来です。ギリシャ由来の言葉はよく聞かれます。	
ギリシャ神話において、ふたご座として星になったのは兄のカストルと弟の誰でしょう？	ポルックス	なるべく「兄」で押せるようにしましょう。	
古ノルド語で「記憶」という意味がある、北欧神話において、フギンと共にオーディンに付き添うワタリガラスの名前は何でしょう？	ムニン	フギンは「思考」という意味です。神話はよく狙われる題材です。	
国立天文台が定める「三大流星群」とは、1月のしぶんぎ座流星群、7月のペルセウス座流星群と12月の何流星群でしょう？	ふたご座流星群	"第1問と同じで、「1月」が出た時点で答えが「ふたご座」の可能性が高いです。
星については以下にまとめています。"	
中国神話における四神のうち、東を守っているのは何でしょう？	青龍	四神と四天王はよく狙われます。しっかり覚えて「読ませ押し」出来るようにしましょう！	
東映の映画のオープニング「荒磯に波」として使用されたことで知られる、千葉県銚子市にある岬の名前は何でしょう？	犬吠埼	日本の平地で最も日の出が早い地点として有名です。（離島を除く）	
フィギュアスケートのルッツジャンプに名前を残す「アロイス・ルッツ」の出身国はどこでしょう？	オーストリア	フィギュアスケートのジャンプもよく狙われます。難易度・初めて跳んだ人・出身地を覚えましょう！	
アメリカの州の中で、州旗にイギリス国旗が描かれているのは何州でしょう？	ハワイ州	左上にイギリスの国旗が配置されています。	
アメリカの州の中で、日本より面積が大きいのは、アラスカ州、テキサス州、カリフォルニア州とどこでしょう？	モンタナ州	州だけで日本より大きいとは恐るべし・・・。モンタナ州が4番目に大きいので出やすいです。	
旧称は「ベドロー島」である、「自由の女神」があることで有名なアメリカの島はどこでしょう？	リバティ島	「Liberty」とは「自由」という意味です。自由の女神にぴったりな名前ですね！	
元々は氷を運ぶためのカバンだったことから、「運ぶ」を意味するアメリカの俗語が名前の由来となったのは何でしょう？	トートバッグ	「運ぶ」から「キャリー」が連想されますが、「氷を運ぶ」というキーワードから「トートバッグ」が答えになります。	
新井白石らを含む「木門十哲」と呼ばれる人材を輩出したことで知られる、江戸時代の儒学者は誰でしょう？	木下順庵	新井白石は「正徳の治」と呼ばれる政治改革を行ったことでも有名です。	
サッカー日本代表が、1998年のフランスW杯への出場を決めた試合のことを、試合の会場となったマレーシアの都市から「何の歓喜」というでしょう？	ジョホールバルの歓喜	「ドーハの悲劇」と共によく出る問題です。ドーハの悲劇は、逆にW杯出場を逃した試合のことです。	
世界で一番早く太陽が昇ることから、国旗に日の出の太陽がデザインされている国はどこでしょう？	キリバス	キリバスのミレニアム島 (カロリン島)が最も早く太陽が昇る島として知られています。国旗にはカモメも一緒に描かれています。国旗のクイズは以下にまとめてあります。	
国連に加盟している国の首都の中で最も北に位置している、アイスランドの首都はどこでしょう？	レイキャビク	高緯度にある割には、暖流の「北大西洋海流」によって意外と暖かい気候です	
和歌山県に存在する、本州最南端の岬は何でしょう？	潮岬	日本最南端の岬は「佐多岬」です。最北は「宗谷岬」です。	
全高828メートルである、アラブ首長国連邦のドバイにある世界で最も高い高層ビルは何でしょう？	ブルジュ・ハリファ	「828m」で押せるのがベストです。ちなみに、世界で2番目に高い建造物は「東京スカイツリー」です！	
「QRコード」の「QR」とは何という言葉の略でしょう？	クイック・レスポンス	略語はよく狙われるところです。この問題もQRコードに「」がついているので、略称を聞かれると予測が出来ます。	
小麦粉の英語「フラワー」にあって、花の英語「フラワー」にないアルファベットは何でしょう？	u	小麦粉は「Flour」、花は「Flower」です。頭の回転も求められます。	
『ひまわり』を描いたのはゴッホですが、『ひまわりを描くゴッホ』を描いたのは誰でしょう？	ゴーギャン	「『ひまわり』を描いたのは」くらいでパラレル問題を見抜いて答えましょう！	
ポテトサラダやアイスクリームをすくうのに用いる、半球状の器に取っ手がついた器具を何というでしょう？	ディッシャー	普段見るけど名前を知らないものはよく狙われます。	
日本でいう「郵便番号」をアメリカではアルファベット3文字で「何コード」というでしょう？	ZIPコード	「Zone Impression Plan」の略です。「郵便番号」くらいでほぼ確定です。	
赤外線を表す「IR」とは、何という言葉の略称でしょう？	インフラ・レッド	これも「」がついているので略称を聞かれていると予測できます。紫外線を表す「UV」は「ウルトラ・バイオッレット」の略です。	
この問題は1問目。では1匁は何グラムでしょう？	3.75グラム	「問目」と「匁」をかけた問題です。3.75gは5円玉と同じ重さです。	
国連加盟国を英語表記したときに、唯一「Y」で始まる国はどこでしょう？	イエメン	「Yemen」と表記されます。唯一「Q」で始まるのはカタールです。	
「写真が間違っている」「気持ちが入っていないからボールだ」「おれがルールブックだ」などの言葉で知られるプロ野球のもと元審判は誰でしょう？	二出川延明	最初の名言で答えられるようにしときましょう。	
ダッフルコートに用いられる、浮型の留め具のことをなんというでしょう？	トグル	"よく見るけど、名前を知らないものはよくクイズに狙われます。
通称「あれの名前」は以下にまとめてあります！"	
態度を急変させることを「手のひらを返す」と言いますが、後戻りすることを「何を返す」というでしょう？	きびすを返す	"きびすとは「かかと」のことです。
パラレル問題に挑戦したい方は以下からどうぞ！"	
ナイアガラの滝を構成する3つの滝とは、アメリカ滝、カナダ滝ともう1つはなんでしょう？	ブライダルベール滝	ナイアガラの滝は実は3つの滝から構成されています。ブライダルベール滝が最もマイナーなので、「ナイアガラの滝を構成する/」くらいで押して答えても良いと思います。3つまとめて覚えるものは下記の記事でまとめています。	
ノーベル賞の6部門の中で唯一、授賞式がノルウェーのオスロで行われるのは何でしょう？	平和賞	ノーベル賞は「化学賞」「物理学賞」「医学・生理学賞」「文学賞」「経済学賞」「平和賞」の6部門です。平和賞以外はストックホルムで行われます。	
在任期間が54日で歴代内閣総理大臣の中で最も短いかつ唯一の皇族出身者であるのは誰でしょう？	東久邇宮稔彦王	第二次世界大戦の後に、終戦処理のために就任しました。長い名前のものはクイズに狙われやすいです。長い名前のクイズは以下にまとめてあります。	
その漢字表記とは裏腹に蒸して売られている、豚のひき肉を小麦粉の皮で包む中華料理はなんでしょう？	焼売	漢字には「焼」が入るのに焼かないのは不思議ですね。	
ことわざ「頭隠して尻隠さず」の由来となった動物は何でしょう？	キジ	"キジは草むらに隠れるときに頭だけ隠す習性があることで知られています。
ことわざクイズは以下から挑戦できます。"	
1985年の「バックスクリーン3連発」を打ったのはランディ・バース、掛布雅之ともう1人は誰でしょう？	岡田彰布	"「バックスクリーン3連発」はWikipediaに載っているほど野球界では有名です。
打った順番に聞かれやすいので、岡田が答えになりやすいです。"	
茶道の流派である「三千家」とは表千家、裏千家と何でしょう？	武者小路千家	これも「三千家とは/」でマイナー押ししちゃいましょう。	
合成数57のことを、講演中に誤って57を素数として説明してしまったフランス人数学者の名前をとって何素数というでしょう？	グロタンディーク素数	"「自然数57のことを/」でほぼ確定です。57=3×19なので、素数ではありません。
「〇〇数」のクイズは以下にまとめてあります！"	
16世紀にフィリピンのマクタン島で、世界一周を目指していたマゼランを討ち取り、フィリピンの国民的英雄とされている人物は誰でしょう？	ラプ＝ラプ	「マゼラン艦隊が世界一周した」と習いますが、マゼラン自身は世界一周を遂げていません。	
パイロットとしては欧州-南米間の飛行航路開拓に携わった、代表作に『夜間飛行』、『人間の土地』、『星の王子さま』などがあるフランスの作家は誰でしょう？	サン＝テグジュペリ	実はパイロットでもあったことで有名です。『星の王子さま』では確実に分かるようにはしておきましょう。	
オリンピックの金メダル獲得数が23個で史上最多の記録を持つ、「水の怪物」と呼ばれるアメリカの競泳選手は誰でしょう？	マイケル・フェルプス	オリンピックメダルは28個で、23個が金メダルというすごい成績です。	
1864年に4つの方程式を導いて古典電磁気学の基礎を確立したイギリスの物理学者は誰でしょう？	マクスウェル	熱力学第二法則に対する思考実験「マクスウェルの悪魔」でも知られています。	
手首につける装飾品はブレスレットですが、足首につける装飾品は何でしょう？	アンクレット	超有名なパラレル問題です。「手首につける/」くらいで押してもいいでしょう。	
日本の都道府県で、最高地点が最も低いのはどこでしょう？	千葉県	千葉県の最高地点が「愛宕山」で400m程度しかありません。	
全長13.5メートルと法定河川では最も短い、和歌山県にある川の名前は何でしょう？	ぶつぶつ川	「ぶつぶつ」が短いイメージを与えるので覚えやすいですね。	
原子番号1番の元素は水素、11番の元素はナトリウムですが、111番の元素は何でしょう？	レントゲニウム	「1番→11番」と来ているので次が111番であることが予想できます。「水素、11/」で決まり字となります。名前の由来となったレントゲンは第1回ノーベル物理学賞受賞者です。元素クイズは以下にまとめてあります。	
1958年には「インスリンの構造研究」、1980年には「核酸の塩基配列の決定」でノーベル化学賞を2度受賞した人物は誰でしょう？	フレデリック・サンガー	"同じ分野のノーベル賞を2回受賞しているのは化学賞のサンガーとバリー・シャープレス、物理学賞のジョン・バーディーンだけです。塩基配列を決定する「サンガー法」に名前を残しています。
ノーベル賞を2回受賞している人は以下にまとめています。"	
最狭幅が9.93メートルであり、世界で1番狭い海峡としてギネス記録に認定されている、小豆島と前島の間にある海峡の名前は何でしょう？	土渕海峡	海峡を挟んでいる土庄町と渕崎地区から命名されています。クイズはギネス記録が大好きです。	
女性初のノーベル文学賞受賞者である、代表作に『ニルスの不思議な旅』などがあるスウェーデン人の作家は誰でしょう？	ラーゲルレーヴ	1909年に受賞しています。文学賞における女性初の受賞者はラーゲルゲーヴですが、全ての部門だと1903年のマリー・キュリーが女性初のノーベル賞受賞者です。	
スピンと呼ばれるしおり紐がついていることやぶどうのトレードマークで知られる文庫レーベルは何でしょう？	新潮文庫	本についている紐のしおりを「スピン」といいます。これもクイズでよく出るので覚えましょう。	
背後から差し込んだ太陽の光が散乱されることで虹のような光の輪ができる現象を、この現象がよく観察されるドイツの山の名前から何現象というでしょう？	ブロッケン現象	ドイツのブロッケン山が由来です。非常にきれいです。	
正式には「カサ・ロサダ」という、アルゼンチンの大統領官邸のことをある色を用いて何というでしょう？	ピンクハウス	アメリカのホワイトハウスとのパラレルで出ることもあります。ピンクは2大政党のイメージカラーである赤と白の中間色が由来だそうです。	
音楽記号で、D.C.はダ・カーポのことですが、D.S.は何のことでしょう？	ダル・セーニョ	パラレル問題です。「D.C.」が強調されるのを聞き逃さないようにしましょう。	
野球の公式球の縫い目の数はいくつでしょう？	108	煩悩の数と同じですね。	
2018年に国名が変更された、旧国名をスワジランドという国はどこでしょう？	エスワティニ	最近国名が変更されたということでよく狙われます。スワジランドが現地語(スワジ)と英語(ランド)が組み合わさったものだったので現地語に統一したそうです。	
1941年に日本競馬史上初のクラシック三冠馬となった競走馬の名前は何でしょう？	セントライト	皐月賞、日本ダービー、菊花賞で優勝することをクラシック三冠といいます。	
その中の一節である「我思う、ゆえに我あり」が有名である、1637年に刊行されたデカルトの著書は何でしょう？	『方法序説』	「我思う、ゆえに我あり」だけでデカルトと答えてしまいがちです。「その中の一節で」というのもちゃんと聞きましょう。	
1937年にアンドレ・パトリーが発見した小惑星を、小惑星番号が3142であることから何と呼ぶでしょう？	キロパイ	円周率の近似値3.142を1000倍した値であることから名前が付けられました。(キロは1000倍を表す接頭辞)	
イオ、エウロパ、ガニメデ、カリストという4つの木星の衛星のことを、発見者の名前から何衛星というでしょう？	ガリレオ衛星	木星には全部で79個もの衛星が発見されています。(2020年現在)	
ジョージ・ワシントン、トーマス・ジェファーソン、セオドア・ルーズベルト、エイブラハム・リンカーンの4人のアメリカ大統領の巨大な胸像が彫られている、アメリカのサウスダコタ州にある建造物は何でしょう？	ラシュモア山	非常に硬い岩盤に彫られており、作製に14年間かかったそうです。山のクイズは以下を参照してください！	
その国名はフランス語で「象牙海岸」を意味する、首都をヤムスクロにおくアフリカの国はどこでしょう？	コートジボワール	"「コート」が「海岸」を意味します。カラオケのコートダジュールは「青の海岸」という意味です。
クイズによく出る語源問題は以下にまとめています。"	
相撲用語で、太った力士のことを「アンコ」というのに対し、痩せた力士のことを何というでしょう？	ソップ	これもパラレル問題ですね。焦らないように注意しましょう。	
同じ長さの線分でも、外向きの矢羽が付いている方が内向きの矢羽が付いている方より長く見える錯視のことを、これを発表したドイツの心理学者の名前をとって何錯視というでしょう？	ミュラーリヤー錯視		
日本語では「止揚」という、ドイツの哲学者ヘーゲルが弁証法の中で提唱した概念は何でしょう？	アウフヘーベン	2つの対立する考え方から、1つの結論を導くことです。	
エスキモーやインディアンが使うそりの名前にもなっている、ペンギンが腹ばいになって滑る行為を何というでしょう？	トボガン	見たことあるけど名前が分からないものはクイズに狙われやすいです。	
平安時代後期から室町時代前期に成立した「四鏡」とは、『大鏡』、『今鏡』、『水鏡』ともう1つは何でしょう？	増鏡	「だいこんみずまし」と覚えましょう。	
南米大陸の中で唯一公用語がオランダ語である、首都をパラマリボに置く国はどこでしょう？	スリナム	面積・人口ともに南米大陸で最小です。	
「数字は独身に限る」が正式な名前である、縦横斜め、さらには3×3のブロック内に1から9までの数字を当てはめるパズルを何というでしょう？	数独	「数字は独身/」でほぼ確定です。名前の由来が面白いですね。	
日本で1番高い山は富士山ですが、1番低い山は何でしょう？	日和山	太字になっている「高い」が強調されることが多いです。	
中国の官吏登用試験である「科挙」において、最も優れた答案が1番上に置かれたことに由来する、他のものより優れていることを指す言葉は何でしょう？	圧巻	「圧」が上から押さえること、「巻」が答案用紙のことです。	
一般に世界三大貴腐ワインと呼ばれるのは、トカイ、ソーテルヌともう1つはなんでしょう？	トロッケンベーレンアウスレーゼ	これももっとも長いトロッケンべーレンアウスレーゼが聞かれやすいです。(確定ではないですが)「世界三大○○」については以下のサイトを参考にしてください！	
NTTの3桁電話番号サービスで、「災害用伝言ダイヤル」を利用するための番号は何番でしょう？	171	NTTの3桁電話番号サービスについては以下のサイトでまとめています。	
タイのスープである「トムヤムクン」のトムは「煮る」、ヤムは「混ぜる」を意味しますが、クンは何を意味するでしょう？	エビ	「トムは煮る、/」くらいで押すのが理想的です。	
1945年に行われたヤルタ会談に出席した3人の首脳とは、アメリカのルーズベルト、ソ連のスターリンとイギリスの誰でしょう？	チャーチル	ヤルタ会談は東西冷戦のきっかけとなった会談です。冷戦の終了のきっかけとなったマルタ会談と混合しないように気をつけましょう。	
「悪貨は良貨を駆逐する」という経済学上の法則のことを、イギリスの財政家の名前から何の法則というでしょう？	グレシャムの法則	"有名な経済学の法則です。「価値の低い貨幣と高い貨幣があると、高い貨幣を蓄えて低い貨幣を使っていくので、低い貨幣が流通する」というようなことです。
クイズによく出る法則は以下にまとめてあります。"	
「人気のバロメーター」などという時の「バロメーター」とは、元々何を測る道具のことでしょう？	気圧	「baro」が「気圧」を表します。「人気のバロメーター」とカギ括弧がついているときは言葉や単語について聞かれることが多いです。口頭での読み上げの時には、ゆっくり読まれがちです。	
冷たい物を食べた時に頭が「キーン」と痛くなる現象を、代表的な冷たい食べ物の名前を用いて「何頭痛」というでしょう？	アイスクリーム頭痛	誰しもが経験あるこの頭痛。名前がついています。経験あるけど名前を知らないことはクイズで狙われやすいです。	
世界で最も大きい国はロシアですが、最も小さい国はどこでしょう？	バチカン市国	「ですが」が入るパラレル問題です。対比となる「大きい」が強調されて読まれます。	
西部劇などでよく見かける、乾燥地帯などで風に吹かれて転がる玉状の植物のことを何というでしょう？	タンブルウィード	"よく見るけど、名前を知らないものはよくクイズに狙われます。
「あれの名前」については以下を参考にしてください！"	
病気になっても自覚症状が現れにくいことから「沈黙の臓器」と呼ばれる臓器は何でしょう？	肝臓	できれば「沈黙の臓器」よりも前で答えられるようにしましょう。	
「おい、地獄さ行ぐんだで！」という書き出しで始まる、プロレタリア文学の代表作といわれる小林多喜二の小説は何でしょう？	蟹工船	"クイズでよく出る「書き出し問題」です。有名な書き出しなので覚えましょう！
クイズによく出る書き出しは以下にまとめてあります！"	
「あかい」「まるい」「おおきい」「うまい」という4つの単語が由来である、福岡県の代表的なイチゴのブランドは何でしょう？	あまおう	4つの単語の頭文字をくっつけて「あまおう」となります。福岡県のイチゴであることも押さえましょう。	
指揮者のハンス・フォン・ビューローが名付けた「ドイツ三大B」とされる音楽家とは、ベートーベン・バッハともう1人は誰でしょう？	ブラームス	"ビューローが、ブラームスを賞賛するためにベートーベン・バッハと並べたとされています。「ドイツ三大B」を答える問題では、ほとんど「ブラームス」が答えになります。（1番マイナーなので）
3つまとめて覚えるものは以下の記事でまとめています。"	
文章中で、文字を間違えることを「誤字」、文字が抜けることを、「脱字」といいますが、余計な文字が入ることを何というでしょう？	衍字	誤字脱字はよく聞きますが、衍字は聞かないですね。「衍」には「余計にする」という意味の他にも、「広げる、はびこる」という意味があります。有名な熟語には「敷衍ふえん」があります。	
「どっどど　どどうど　どどうど　どどう」という書き出しで始まる、宮沢賢治の小説は何でしょう？	風の又三郎	またも「書き出し問題」です。「どっどど」が出てきたらすかさず押しましょう！	
コンゴ共和国の首都はブラザビルですが、コンゴ民主共和国の首都はどこでしょう？	キンシャサ	"「ですが」が入っている「パラレル問題」です。「コンゴ共和国の首都」くらいで押したいですね。
クイズによく出る首都は以下の記事にまとめられています。"	
西暦645年から650年まで続いた、日本の最初の元号は何でしょう？	大化	「大化の改新」で有名な大化です。ちなみに、2番目は白雉（はくち）です。	
本名は録弥ろくやである小説家で、代表作に『田舎教師』『蒲団』などがあるのは誰でしょう？	田山花袋	代表作『蒲団』が有名ですね。	
五臓六腑の「五臓」といわれる臓器は、心臓・肝臓・腎臓・脾臓と何でしょう？	肺	五臓の中だと、唯一「臓」がつかない肺か、一番馴染みのない脾臓が聞かれがちです。焦らずに「読ませ押し」しましょう！読ませ押しについても以下の記事で解説しています！	
宝塚歌劇団に存在する５つの組の中で、出来たのが最も新しいのは何組でしょう？	宙組	宝塚歌劇団にある組は、花組・月組・雪組・星組・宙組の5つです。いずれの組にも属さない「専科」というのもあり、これもクイズに出がちです。	
「サボる」という言葉は何というフランス語が由来でしょう？	サボタージュ	フランス語のサボタージュは、「破壊活動」という意味であり、日本語の「サボる」とは意味が違っています。	
手の爪に施す化粧のことは「マニキュア」といいますが、足の爪に施す化粧のことを何というでしょう？	ペディキュア	またもパラレル問題です！「手の爪に施す化粧」くらいで押しちゃいましょう！	
全天の中で太陽に次いで2番目に明るい、おおいぬ座のα星は何でしょう？	シリウス	冬の大三角形を構成する星です。星については以下の記事も参照してください！	
目覚まし機能付き時計に付いている、アラームが鳴る時間をセットする針のことを何というでしょう？	目安針	見たことあるけど名前が分からないパターンです。「目覚まし機能付き時計」で押すと、「スヌーズ」が答えの可能性もあるのでご注意を。	
1928年にアレクサンダー・フレミングが発見した、世界初の抗生物質は何でしょう？	ペニシリン	ドラマ『JIN-仁』で有名になりました。発見者のフレミングも覚えておきましょう。	
4年に1度40歳以下の若手数学者に贈られる、「数学界のノーベル賞」といわれる賞は何でしょう？	フィールズ賞	「～界のノーベル賞」というのは数多くあって、クイズにも狙われやすいです。フィールズ賞はその中でも有名な賞で、初の日本人受賞者は小平邦彦です。	
刻んだゆで卵をちらしたサラダのことを、卵黄がある春の花に見えることから何サラダというでしょう？	ミモザサラダ	いろいろなバリュエーションがありますが、ゆで卵は必須のトッピングとしてあげられます。	
見たことあるものをあたかも見たことないように感じることを、「未視感」を意味するフランス語から何というでしょう？	ジャメヴ	「デジャヴ」と間違わないようにしましょう。デジャヴは「見たことないものをあたかも見たことあるように感じること」です。	
フランス語で「千枚の葉」という意味である、何層にも重なるパイ生地の間にクリームをはさんだ洋菓子を何というでしょう？	ミルフィーユ	"外国語で「～」という問題もよく出ます。由来の通り、パイが何層にも重なっていますね！
クイズによく出る語源問題は以下にまとめてあります。"	
「木曜日」を意味する「Thursday」の語源となったとされる、北欧神話に登場する神は誰でしょう？	トール	スペルは「Thor」です。雷の神様で、北欧神話における最強の神です。	
優れた人がいないところでつまらない人間がいばっていることを、ある哺乳類を用いて「鳥なき里の何」というでしょう？	コウモリ	コウモリは空を飛べますが、実は哺乳類です。本物の鳥がいないところで鳥みたいなのが威張っていることから来ています。	
気象用語で「真夏日」とは、最高気温が何度以上の日のことでしょう？	30℃	夏日は25℃以上、真夏日は30℃以上、猛暑日は35℃以上です。	
気象用語において、午前0時から午前3時までの時間帯のことを何というでしょう？	未明	0時から3時が未明で、3時から6時が明け方です。間違えないように注意しましょう。	
積雪のある「ホワイトクリスマス」に対して、積雪のないクリスマスのことを「何クリスマス」というでしょう？	グリーンクリスマス	「ですが」は入っていないですが、パラレル問題に似ています。「ホワイトクリスマス」を聞き終わる前に押したいですね。	
日本の内閣総理大臣を五十音順に並べた時に最後にくる、第25・28代内閣総理大臣は誰でしょう？	若槻礼次郎	内閣総理大臣もクイズによく出ます。ちなみに、五十音順で最初に出てくるのは芦田均（あしだひとし）です。	
同位体は英語で「アイソトープ」といいますが、同素体は英語で何というでしょう？	アロトロープ	パラレル問題ですが、焦って早く押すと、「ラジオアイソトープ（放射性同位体）」と間違える恐れがあります。落ち着いて「ですが」のあとで読ませ押ししましょう。	
我々の銀河系に人類とコンタクトする可能性のある地球外文明の数を算出する式のことを、1961年にこれを提唱したアメリカの天文学者の名前から「何の方程式」というでしょう？	ドレイクの方程式	「銀河系で1年間に誕生する星の数」「一つの恒星が惑星系をもつ割合」など、7つのパラメーターをかけて求める式です。パラメーターの仮定によって大きく値が変わるのが難点ですね。	
アントニン・ドヴォルザークの『新世界より』の「新世界」とは、どこの国のことを表しているでしょう？	アメリカ	その名の通り、アメリカで作曲されました。作曲者のドヴォルザークも覚えましょう。	
エンキ・ビラルの作品『冷たい赤道』の中で紹介された、あるボードゲームとスポーツを交互に行う競技を何というでしょう？	チェスボクシング	ユニークな競技でクイズの題材にされやすいです。チェスを4分間、ボクシングを2分間というセットを最大11セット続けます。	
フランス語で「厚紙」という意味である、会計のレジなどに置かれるお金を受け渡しするためのトレイのことを何というでしょう？	カルトン	見たことあるけど名前が分からないパターンですね。その中でも特に有名なので覚えましょう。	
スコットランドのロスリン研究所で生まれ育った、世界初の哺乳類の体細胞クローンの羊の名前は何でしょう？	ドリー	哺乳類のクローンが作れるということで、倫理的な問題が言及されていました。	
上野公園にある「西郷隆盛像」で、西郷隆盛が連れている犬の名前は何でしょう？	ツン	西郷隆盛像は飼い犬のツンとともにウサギ狩りに出かけている様子をモチーフにしたといわれています。	
「ここに地終わり海始まる」と書かれた石碑が立っている、ユーラシア大陸最西端にある岬の名前は何でしょう？	ロカ岬	「～の最～端」のもよく聞かれる問題です。石碑の文言も有名なのでここで押せるようになりましょう。	
