問題文,答え,メモ,ジャンル,難易度,タグ
"「国境の長いトンネルを抜けると雪国であった」という書き出しで始まる、川端康成の小説は何でしょう？",雪国,ノーベル文学賞受賞作家の代表作です,文系学問,2.1,"文系学問, 小説, 書き出し"
"フランス語で「白い山」という意味である、ヨーロッパ最高峰の山は何でしょう？",モンブラン,フランスとイタリアの国境にある山です,社会,2.6,"社会, 地理, 語源"
"温かい、冷たい、熱いのように、温度を表す形容詞を何というでしょう？",温度形容詞,言語学の分類用語です,文系学問,2.8,"文系学問, 言語学, 分類"
"「ハムレット」「オセロ」「リア王」といった代表作がある劇作家は誰でしょう？",シェイクスピア,イギリスの国民的劇作家です,文系学問,2.0,"文系学問, 劇作家, 作品"
"「覆水盆に返らず」という意味のことわざを、牛乳を用いて何というでしょう？",こぼれた牛乳を嘆いても仕方がない,取り返しのつかないことを表します,文系学問,2.7,"文系学問, ことわざ, 比喩"
"日本一長い川は信濃川ですが、世界一長い川は何でしょう？",ナイル川,アフリカ大陸を流れる大河です,社会,2.1,"社会, 地理, 比較"
"「URL」の「L」とは何という言葉の略でしょう？",Locator,ウェブページの所在地を示します,理系学問,2.5,"理系学問, 略語, インターネット"
"略称を「IMF」という、国際機関は何でしょう？",国際通貨基金,経済協力を目的とした国際機関です,社会,2.6,"社会, 国際機関, 略語"
"別名を「北極星」という、現在の極星は何でしょう？",ポラリス,航海で重要な役割を果たした星です,理系学問,2.4,"理系学問, 天文, 別名"
"第1回ノーベル物理学賞を受賞した、X線を発見した科学者は誰でしょう？",レントゲン,医学にも大きく貢献した発見です,理系学問,2.7,"理系学問, ノーベル賞, 発見"
"固体、液体、気体はいずれも物質の何が異なった形でしょう？",状態,物質の基本的な存在形態です,理系学問,1.8,"理系学問, 物理, 状態"
"東、西、南の前について、それぞれの方角を表す漢字一文字は何でしょう？",方,方位を表す基本的な漢字です,文系学問,2.0,"文系学問, 漢字, 方位"
"時間のことを、ある貴金属に例えて何というでしょう？",時は金なり,時間の価値を表す格言です,文系学問,2.2,"文系学問, 格言, 貴金属"
"関東では「しょっつる」のことを言うこともある、魚を使った調味料は何でしょう？",魚醤,地域による呼び方の違いです,ライフスタイル,2.8,"ライフスタイル, 調味料, 方言"
"小説「レ・ミゼラブル」に登場する、主人公の名前は何でしょう？",ジャン・バルジャン,ヴィクトル・ユーゴーの代表作の主人公です,文系学問,2.5,"文系学問, 外国文学, 登場人物"
"北欧神話において、雷神として知られる神の名前は何でしょう？",トール,ハンマーを持つ強力な神です,文系学問,2.4,"文系学問, 北欧神話, 神"
"日本三古湯とは、道後温泉、有馬温泉とあと一つは何でしょう？",白浜温泉,歴史ある温泉地の一つです,社会,2.8,"社会, 温泉, 三大"
"漢字では「薔薇」と書く、とげのある美しい花は何でしょう？",バラ,愛の象徴とされる花です,理系学問,2.0,"理系学問, 植物, 漢字"
"「月日は百代の過客にして、行きかふ年もまた旅人なり」という書き出しで始まる、松尾芭蕉の紀行文は何でしょう？",奥の細道,江戸時代の代表的な紀行文学です,文系学問,2.6,"文系学問, 紀行文, 書き出し"
"ドイツ語で「民衆の車」という意味である、世界的に有名な自動車メーカーはどこでしょう？",フォルクスワーゲン,ビートルで有名なドイツメーカーです,社会,2.5,"社会, 自動車, 語源"
"明るい、暗い、まぶしいのように、光を表す形容詞を何というでしょう？",光度形容詞,言語学の分類用語です,文系学問,2.9,"文系学問, 言語学, 分類"
"「第九」「運命」「田園」といった代表作がある作曲家は誰でしょう？",ベートーベン,古典派からロマン派への橋渡しをした作曲家です,文系学問,2.1,"文系学問, 音楽, 作品"
"「郷に入っては郷に従え」という意味のことわざを、ローマを用いて何というでしょう？",ローマにいる時はローマ人のように,文化適応の重要性を説いた格言です,文系学問,2.5,"文系学問, ことわざ, 比喩"
"世界一深い湖はバイカル湖ですが、日本一深い湖は何でしょう？",田沢湖,秋田県にある美しい湖です,社会,2.4,"社会, 地理, 比較"
"「DNS」の「S」とは何という言葉の略でしょう？",System,ドメイン名を管理するシステムです,理系学問,2.8,"理系学問, 略語, インターネット"
"略称を「EU」という、ヨーロッパの組織は何でしょう？",欧州連合,ヨーロッパの経済・政治統合組織です,社会,2.0,"社会, 国際機関, 略語"
"別名を「猫の手」という、料理で使う調理器具は何でしょう？",フォーク,西洋料理で使用する器具です,ライフスタイル,2.3,"ライフスタイル, 調理器具, 別名"
"第1回アカデミー主演男優賞を受賞した、エミール・ヤニングスの出演作品は何でしょう？",最後の命令,映画史に残る名作です,芸能,3.0,"芸能, 映画, アカデミー賞"
"個体、分子、原子はいずれも物質を構成する何が異なった単位でしょう？",レベル,物質の階層構造を表します,理系学問,2.6,"理系学問, 化学, 構造"
"春分、夏至、秋分の前について、それぞれの季節の特徴を表す現象は何でしょう？",昼夜の長さ,太陽の位置による現象です,理系学問,2.3,"理系学問, 天文, 季節"
"知恵のことを、ある動物に例えて何というでしょう？",知恵袋,フクロウの知恵に例えた表現です,文系学問,2.1,"文系学問, 比喩, 動物"
"九州では「からいも」のことを言うこともある、イモ類は何でしょう？",サツマイモ,九州での方言による呼び方です,ライフスタイル,2.2,"ライフスタイル, 食材, 方言"
"小説「アンナ・カレーニナ」に登場する、主人公の名前は何でしょう？",アンナ・カレーニナ,トルストイの代表作の主人公です,文系学問,2.4,"文系学問, 外国文学, 登場人物"
"エジプト神話において、太陽神として知られる神の名前は何でしょう？",ラー,古代エジプトの最高神です,文系学問,2.7,"文系学問, エジプト神話, 神"
"世界三大宗教とは、キリスト教、イスラム教とあと一つは何でしょう？",仏教,信者数の多い三つの宗教です,文系学問,2.0,"文系学問, 宗教, 三大"
"漢字では「蒲公英」と書く、春に咲く黄色い花は何でしょう？",タンポポ,綿毛で種子を飛ばす植物です,理系学問,2.2,"理系学問, 植物, 漢字"
"「吾輩は猫である。名前はまだ無い」という書き出しで始まる、夏目漱石の小説は何でしょう？",吾輩は猫である,猫の視点から描いた風刺小説です,文系学問,1.8,"文系学問, 小説, 書き出し"
"英語で「新しい世界」という意味である、南北アメリカ大陸の別称は何でしょう？",新大陸,ヨーロッパから見た呼び方です,社会,2.3,"社会, 地理, 語源"
"高い、低い、大きいのように、程度を表す形容詞を何というでしょう？",程度形容詞,言語学での分類です,文系学問,2.7,"文系学問, 言語学, 分類"
"「モナ・リザ」「最後の晩餐」「ウィトルウィウス的人間」といった代表作がある画家は誰でしょう？",レオナルド・ダ・ヴィンチ,ルネサンス期の万能人です,文系学問,2.1,"文系学問, 画家, 作品"
"「後悔先に立たず」という意味のことわざを、覆水を用いて何というでしょう？",覆水盆に返らず,取り返しのつかないことを表します,文系学問,2.4,"文系学問, ことわざ, 比喩"
"日本一面積の大きい県は北海道ですが、世界一面積の大きい国は何でしょう？",ロシア,ユーラシア大陸の大部分を占める国です,社会,1.9,"社会, 地理, 比較"
"「HTTP」の「P」とは何という言葉の略でしょう？",Protocol,インターネット通信の規約です,理系学問,2.6,"理系学問, 略語, インターネット"
"略称を「NATO」という、軍事同盟は何でしょう？",北大西洋条約機構,西側諸国の軍事同盟です,社会,2.5,"社会, 軍事同盟, 略語"
"別名を「シルバーシート」という、電車の座席は何でしょう？",優先席,高齢者や障害者のための座席です,社会,1.8,"社会, 交通, 別名"
"第1回芥川賞を受賞した、石川達三の作品は何でしょう？",蒼氓,純文学の登竜門となった賞の第1回受賞作です,文系学問,2.9,"文系学問, 文学賞, 歴史"
"プラス、マイナス、ゼロはいずれも数の何が異なった種類でしょう？",符号,数学での基本的な分類です,理系学問,2.0,"理系学問, 数学, 符号"
"朝、昼、夜の前について、それぞれの時間帯を表す挨拶は何でしょう？",おはよう・こんにちは・こんばんは,日本語の基本的な挨拶です,文系学問,1.8,"文系学問, 挨拶, 時間"
"愛のことを、ある現象に例えて何というでしょう？",恋の炎,情熱的な愛情を表現した比喩です,文系学問,2.3,"文系学問, 比喩, 愛"
"沖縄では「ゴーヤー」のことを言うこともある、苦い野菜は何でしょう？",ニガウリ,沖縄料理でよく使われる野菜です,ライフスタイル,2.1,"ライフスタイル, 野菜, 方言"
"小説「白鯨」に登場する、船長の名前は何でしょう？",エイハブ,白い鯨との戦いを描いた小説の主人公です,文系学問,2.8,"文系学問, 外国文学, 登場人物"
"日本神話において、太陽神として知られる神の名前は何でしょう？",天照大神,日本の最高神とされる女神です,文系学問,2.2,"文系学問, 日本神話, 神"
"日本三景とは、松島、天橋立とあと一つは何でしょう？",宮島,広島県にある景勝地です,社会,2.1,"社会, 観光, 三大"
"漢字では「紫陽花」と書く、梅雨の時期に咲く花は何でしょう？",アジサイ,色が変わることで知られる花です,理系学問,2.0,"理系学問, 植物, 漢字"
"「祇園精舎の鐘の声、諸行無常の響きあり」という書き出しで始まる、軍記物語は何でしょう？",平家物語,鎌倉時代の代表的な軍記物語です,文系学問,2.4,"文系学問, 軍記物語, 書き出し"
"スペイン語で「小さな戦争」という意味である、非正規戦の戦術は何でしょう？",ゲリラ戦,少数による奇襲戦術です,社会,2.7,"社会, 軍事, 語源"
"美しい、醜い、きれいなのように、美を表す形容詞を何というでしょう？",美的形容詞,言語学での分類用語です,文系学問,2.8,"文系学問, 言語学, 分類"
"「ゲルニカ」「アビニョンの娘たち」「泣く女」といった代表作がある画家は誰でしょう？",ピカソ,キュビスムの創始者の一人です,文系学問,2.2,"文系学問, 画家, 作品"
"「急いては事を仕損じる」という意味のことわざを、針を用いて何というでしょう？",急いては針の穴を通せない,慌てると失敗することを表します,文系学問,2.6,"文系学問, ことわざ, 比喩"
"世界一人口の多い国は中国ですが、世界一面積の小さい国は何でしょう？",バチカン市国,ローマ教皇庁がある小国です,社会,2.5,"社会, 地理, 比較"
"「CPU」の「U」とは何という言葉の略でしょう？",Unit,コンピュータの中央処理装置です,理系学問,2.4,"理系学問, 略語, コンピュータ"
"略称を「NGO」という、市民団体は何でしょう？",非政府組織,政府とは独立した組織です,社会,2.3,"社会, 市民団体, 略語"
"別名を「万年筆」という、インクで文字を書く筆記用具は何でしょう？",ペン,長期間使用できることからこの名前です,ライフスタイル,2.0,"ライフスタイル, 筆記用具, 別名"
"第1回カンヌ国際映画祭でパルムドールを受賞した作品は何でしょう？",該当作品なし,第1回は特別賞のみでした,芸能,3.0,"芸能, 映画祭, 歴史"
"酸性、中性、アルカリ性はいずれも溶液の何が異なった性質でしょう？",pH,水素イオン濃度による分類です,理系学問,2.1,"理系学問, 化学, 性質"
"春夏秋冬の前について、それぞれの季節を表す花は何でしょう？",桜・向日葵・菊・椿,日本の季節を代表する花です,理系学問,2.5,"理系学問, 植物, 季節"
"努力のことを、ある鉱物に例えて何というでしょう？",努力は宝石,価値ある行為への比喩表現です,文系学問,2.7,"文系学問, 比喩, 努力"
"北海道では「いも」のことを言うこともある、デンプン質の多い野菜は何でしょう？",ジャガイモ,北海道の代表的な農産物です,ライフスタイル,1.9,"ライフスタイル, 野菜, 方言"
"小説「嵐が丘」に登場する、男性主人公の名前は何でしょう？",ヒースクリフ,エミリー・ブロンテの代表作の主人公です,文系学問,2.6,"文系学問, 外国文学, 登場人物"
"ケルト神話において、海神として知られる神の名前は何でしょう？",マナナン,アイルランド神話の重要な神です,文系学問,2.9,"文系学問, ケルト神話, 神"
"世界三大美術館とは、ルーヴル美術館、大英博物館とあと一つは何でしょう？",メトロポリタン美術館,ニューヨークにある世界的な美術館です,文系学問,2.6,"文系学問, 美術館, 三大"
"漢字では「朝顔」と書く、夏の朝に咲く花は何でしょう？",アサガオ,つる性の一年草です,理系学問,1.8,"理系学問, 植物, 漢字"
"「木曾路はすべて山の中である」という書き出しで始まる、島崎藤村の小説は何でしょう？",夜明け前,明治維新を背景にした歴史小説です,文系学問,2.7,"文系学問, 小説, 書き出し"
"ポルトガル語で「火の山」という意味である、ブラジルの都市は何でしょう？",リオデジャネイロ,2016年夏季オリンピック開催地です,社会,2.8,"社会, 地理, 語源"
"正しい、間違い、曖昧なのように、正確さを表す形容詞を何というでしょう？",真偽形容詞,論理学での分類です,文系学問,3.0,"文系学問, 論理学, 分類"
