問題文	答え	メモ	ジャンル
英国ロスチャイルド家の第3代当主・ウォルター・ロスチャイルドによって命名された、パプア・ニューギニア東部のオロ州の限られた場所に分布している世界最大の蝶はなんでしょう。	アレクサンドラトリバネアゲハ	○アレキサンドラトリバネアゲハ 	
同僚の戌神ころね（いぬがみころね）からは裏でナスと呼ばれているという噂がある、「うちうち、うちだよ、こんばんみぉーん！」といった挨拶で知られる、ホロライブゲーマーズのメンバーは誰でしょう。	大神ミオ（おおかみ ミオ）		
パキッテの出し口にあたる部分と、ゴルフボールの表面にあるデコボコに共通する名称はなんでしょう。	ディンプル		
「びーっくびっくびっくびっくびく」「しゃかしゃかしゃかしゃかしゃかしゃかしゃかしゃかしゃかしゃか」「あなたとあなたとあなたとあなたとあなたとあなたとあなたでオリオン座」などのギャグをもつ、たきうえとコンビを組んで流れ星として活躍する芸人は誰でしょう	ちゅうえい		
本州最北端の岬は大間崎（おおまざき）ですが、本州最南端の岬は和歌山県の何岬でしょう。	潮岬（しおのみさき）		
ボボボーボ・ボーボボなどの編集も務めていた相田聡一（あいだそういち）が『りぼん』の新編集長に就任した際に、「異例。この連載は、何があろうと、続けていきます。あなたに届けるために。」として連載がスタートした、ある事件によってグループを脱退したアイドルが過去を隠して新しい高校生活を送るという物語の、牧野(まきの)あおいによる漫画はなんでしょう。	さよならミニスカート		
コラールのフレーズ区切り、協奏曲のカデンツァ、ダカーポ形式の曲の終わり、といった意味でも使われる、一般的には音符や休符を本来よりほどよく伸ばす場合に用いられる音楽記号は何でしょう。	フェルマータ		
中国の官僚試験である科挙において、本試験である郷試(きょうし)、会試(かいし)、殿試(でんし)のすべてをトップで合格することを表す言葉で、麻雀では白、發、中（はくはつちゅん）の三種を全て三枚以上揃えて作る役満を何というでしょう	大三元		
数時間から24時間ほどかけて行われる、宇宙飛行士が船外活動をする際、宇宙服内の減圧を開始するまでに、体内に溶け込んでいた窒素成分を体外へ追い出すために実施する作業をなんというでしょう	プリブリーズ	"○プレプリーズ
自転車をこぎながらする（エクササイズ・プリブリーズ」）ことで、2時間20分で終了させることも可能"	
"「○○には答えが入ります」
漢 a.k.a. GAMIが完全監修した、「ポリスとガンジャと○○は上手くまく」がキャッチコピーの消臭剤はなんでしょう。"	ブリブリーズ		
ことわざで、日ごろから習い覚えているものでなければ、すぐにはできないということを、「習わぬ何は読めぬ」というでしょう	習わぬ経（きょう）は読めぬ		
頭指（とうし）、食指（しょくし）、塩舐め指（しおなめゆび）、お母さん指といえば一般的には何指を指す言葉でしょう	人差し指	"○第二指
○示指"	
日本の小学校の中で、高知県と愛媛県の県境にまたがる、日本一名前の長い小学校はなんでしょう。	高知県宿毛市愛媛県南宇和郡愛南町篠山小中学校組合立篠山小学校（こうちけんすくもしえひめけんみなみうわぐんあいなんちょうささやましょうちゅうがっこうくみあいりつささやましょうがっこう）		
作者が北米新聞同盟の記者としてスペイン内戦中に経験したことに基づき書かれた、若いアメリカ兵ロバートジョーダンを描く、アーネスト・ヘミングウェイの小説はなんでしょう	誰がために鐘は鳴る		
賭博覇王伝零(とばくはおうでんぜろ)の100枚、暗号学園のいろはのツーカー、嘘喰いのエア、ライアーゲームの17(セブンティーン)といえば、何というトランプゲームを題材にしたゲームでしょう。	ポーカー		
柳田理科雄の計算によると、作中の人力車の速度は時速670kmとまでされている、曲がったことが嫌いな車屋が直進し続け、上野から仙台や長崎まで行って戻ってくるという内容の、古典落語の演目は何でしょう。	反対俥（はんたいぐるま）	○いらち俥（上方落語の表記）	
漢字廃止論者であり、漢字御廃止之議（かんじおんはいしのぎ）を徳川慶喜（とくがわよしのぶ）に提出したこともある、日本の近代郵便制度の主要な創設者の一人で、1円切手の肖像でも知られるのは誰でしょう。	前島密（まえじまひそか）		
2026年に映画が公開予定である作品で、真っ白い奇妙な部屋で目を覚ましたライランド・グレースが、断片的によみがえる記憶をもとに、人類の命運をかけた壮大なプロジェクトに挑むというストーリーの、アンディ・ウィアーのSF小説はなんでしょう。	プロジェクト・ヘイル・メアリー		
「目には青葉 山ホトトギス 初恋」「サマーライオン」「Cheering You!!!」といった曲を歌った、同名の番組から誕生し、2015年まで活躍していたアイドルグループはなんでしょう。	アイドリング!!!		
約数が多いことから、シュメールやバビロニアで主に用いられていた記数法であり、現代にも角度や時間を表す際に使われているのは何進法でしょう。	六十進法		
