問題文,答え,メモ,ジャンル,難易度,タグ
同じ元素からできているが、原子の配列が異なるため性質が異なる物質を互いに何というでしょう？,同素体（どうそたい）,allotrope。ダイヤモンドと黒鉛（炭素）、酸素とオゾンなど。S・C・O・Pが代表。,理系学問,2.5,"理系学問,化学,物質"
同じ元素の原子で、中性子の数が異なるものを互いに何というでしょう？,同位体（どういたい）,isotope。¹²Cと¹⁴C（放射性炭素年代測定に利用）など。,理系学問,2.5,"理系学問,化学,物質"
電子が原子核のまわりに存在する領域を、エネルギーの低い順にK殻・L殻・M殻などと呼びますが、これを総称して何というでしょう？,電子殻（でんしかく）,electron shell。各殻に入る電子数に上限がある（K:2, L:8, M:18）。,理系学問,2.5,"理系学問,化学,原子"
凸レンズを通った光が一点に集まる点を何というでしょう？,焦点（しょうてん）,focal point。焦点距離はレンズの曲率で決まる。虫めがねで紙を燃やす原理。,理系学問,2.0,"理系学問,物理,光"
磁石のまわりにできる力の場を何というでしょう？,磁界（じかい）,magnetic field。磁力線でN極からS極へ。電流も磁界を生じる。,理系学問,2.0,"理系学問,物理,電気"
コイルの中の磁界が変化すると電流が流れる現象を何というでしょう？,電磁誘導（でんじゆうどう）,electromagnetic induction。ファラデーが発見。発電機の原理。,理系学問,2.5,"理系学問,物理,電気"
フレミングの左手の法則で、親指が力、人差し指が磁界の向きを示すとき、中指が示すのは何の向きでしょう？,電流の向き（でんりゅうのむき）,モーターの原理。左手の法則は力（F）・磁界（B）・電流（I）の関係。,理系学問,2.0,"理系学問,物理,電気"
電波やWi-Fiの通信速度でよく用いられる、波が1秒間に繰り返す回数をヘルツの単位で表す物理量を何というでしょう？,周波数（しゅうはすう）,frequency。単位はHz。f=1/T。振動数とも。,理系学問,2.0,"理系学問,物理,波"
地震のゆれの大きさを表す尺度で、日本では0から7までの10段階で示されるものは何でしょう？,震度（しんど）,seismic intensity。気象庁震度階級。5と6に弱・強あり。マグニチュードとは異なる。,理系学問,2.0,"理系学問,地学,地震"
地震そのもののエネルギーの大きさを表す尺度で、1増えるとエネルギーが約32倍になるものは何でしょう？,マグニチュード,magnitude（M）。リヒターが考案。2増えると1000倍。,理系学問,2.0,"理系学問,地学,地震"
地球の自転軸が公転面に対して約23.4度傾いていることで生じる、気候の周期的な変化を何というでしょう？,四季（しき）,four seasons。地軸の傾きにより太陽の南中高度と日照時間が変化。,理系学問,2.0,"理系学問,地学,天文"
太陽の表面に見える黒い点で、周囲より温度が約2000度低い領域を何というでしょう？,黒点（こくてん）,sunspot。約11年周期で増減。強い磁場を持つ。約4000℃。,理系学問,2.0,"理系学問,地学,天文"
地層に含まれる生物の化石のうち、その地層が堆積した時代を知る手がかりとなる化石を何というでしょう？,示準化石（しじゅんかせき）,index fossil。三葉虫→古生代、アンモナイト→中生代、ビカリア→新生代。,理系学問,2.0,"理系学問,地学,地層"
生態系の中で、有機物を分解して無機物に戻す役割を持つ菌類や細菌類を何というでしょう？,分解者（ぶんかいしゃ）,decomposer。物質循環に不可欠。落ち葉や動物の死骸を分解。,理系学問,2.0,"理系学問,生物,生態"
生物どうしの関係で、異なる種の生物が互いに利益を得る共生関係を何というでしょう？,相利共生（そうりきょうせい）,mutualism。ヤドカリとイソギンチャク、マメ科植物と根粒菌など。,理系学問,2.5,"理系学問,生物,生態"
1911年にオランダの物理学者カメルリング・オンネスが発見した、ある物質を極低温に冷却すると電気抵抗がゼロになる現象を何というでしょう？,超伝導（ちょうでんどう）,superconductivity。水銀を液体ヘリウムで冷却。MRI・リニアモーターカーに応用。,理系学問,3.0,"理系学問,物理,電気"
ドイツの気象学者ウェゲナーが1912年に提唱した、かつて地球上の大陸は一つの巨大な大陸であったとする仮説を何というでしょう？,大陸移動説（たいりくいどうせつ）,continental drift。超大陸パンゲア。後にプレートテクトニクスで裏付け。,理系学問,2.5,"理系学問,地学,地球"
