問題文,答え,メモ,ジャンル,難易度,タグ
漫画の連載形式で、毎週発行される雑誌に掲載される形式を「週刊連載」といいますが、月に1回の連載を何というでしょう？,月刊連載（げっかんれんさい）,monthly serialization。進撃の巨人は別冊少年マガジン（月刊）で連載。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,用語"
ポケモンのゲームで、野生のポケモンを捕まえるために投げる球状の道具を何というでしょう？,モンスターボール,Monster Ball。スーパーボール・ハイパーボール・マスターボールなど種類がある。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,ポケモン"
原作・原哲夫、原案・武論尊の漫画で、核戦争後の世界を舞台にケンシロウが活躍する格闘漫画は何でしょう？,北斗の拳（ほくとのけん）,1983年連載開始。「お前はもう死んでいる」が名台詞。一子相伝の暗殺拳。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
スクウェア・エニックスのRPGで、勇者がスライムやドラキーなどのモンスターを倒しながら冒険す日本を代表するシリーズは何でしょう？,ドラゴンクエスト,Dragon Quest。通称ドラクエ。1986年第1作。堀井雄二がデザイン。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,RPG"
ガンダムシリーズの第1作で、アムロ・レイが搭乗する白いモビルスーツの型式番号は何でしょう？,RX-78-2,RX-78-2ガンダム。1979年「機動戦士ガンダム」。富野由悠季監督。,アニメ&ゲーム,2.5,"アニメ&ゲーム,アニメ,ガンダム"
芥見下々の漫画で、呪力を使って呪霊と戦う虎杖悠仁の物語は何でしょう？,呪術廻戦（じゅじゅつかいせん）,2018年連載開始。両面宿儺が重要キャラ。MAPPAがアニメ制作。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
ゲームの世界で、Non-Player Characterの略で、プレイヤーが操作できないキャラクターを何というでしょう？,NPC,Non-Player Character。村人・商人などゲーム内で自動的に行動するキャラ。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
宮崎駿監督のジブリ作品で、少女ナウシカが腐海と呼ばれる毒の森の秘密に迫る物語は何でしょう？,風の谷のナウシカ,1984年公開。厳密にはトップクラフト制作（ジブリ設立前）。漫画版は全7巻。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,ジブリ"
Blizzard Entertainmentが開発した、自然界をモチーフとしたカードを集めてデッキを作って対戦するデジタルカードゲームは何でしょう？,ハースストーン（Hearthstone）,2014年リリース。Warcraft世界観。基本プレイ無料。,アニメ&ゲーム,2.5,"アニメ&ゲーム,ゲーム,カードゲーム"
長寿アニメで、野原しんのすけとその家族の日常を描いた臼井儀人原作の作品は何でしょう？,クレヨンしんちゃん,1990年連載開始。1992年からテレビアニメ。劇場版は大人にも人気。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,長寿アニメ"
ゲームの難易度設定で、最も簡単なモードを一般にカタカナで何というでしょう？,イージー,easy mode。ノーマル→ハード→ベリーハードと上がる。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
久保帯人の漫画で、死神の力を手にした黒崎一護がホロウと戦う物語は何でしょう？,BLEACH（ブリーチ）,2001年連載開始。斬魄刀・卍解が特徴。千年血戦篇がアニメ化。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
任天堂のレースゲームで、マリオやルイージなどのキャラクターがカートに乗ってレースをするシリーズは何でしょう？,マリオカート,Mario Kart。1992年第1作（SFC）。アイテムを使った逆転が魅力。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,任天堂"
アニメの制作工程で、声優がキャラクターの声を録音するスタジオでの作業を何というでしょう？,アフレコ,after recording。映像に合わせて声を入れる。プレスコは先に録音。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,制作"
竹内つなよし原作で、「行くぜ！」の掛け声が印象的な、コロコロコミックで連載されたベーゴマ型バトルゲームの漫画は何でしょう？,爆転シュート ベイブレード,2001年からアニメ化。タカラトミーが玩具販売。世界的ヒット商品。,アニメ&ゲーム,2.5,"アニメ&ゲーム,漫画,コロコロ"
Valve社が運営するPC向けゲーム配信プラットフォームで、世界最大のデジタル販売サービスは何でしょう？,Steam（スチーム）,2003年サービス開始。年末のセールが有名。インディーゲームも多数。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,プラットフォーム"
赤塚不二夫の漫画で、おそ松をはじめとする六つ子の日常を描いたギャグ漫画は何でしょう？,おそ松くん,1962年連載開始。2015年のリメイクアニメ「おそ松さん」が大ヒット。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,ギャグ"
ゲームで、ストーリーの分岐や選択によって結末が変わるシステムを何エンドというでしょう？,マルチエンド,multiple endings。ビジュアルノベルやRPGで使われる。グッドエンド・バッドエンドなど。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
アニメで、背景が動かず人物だけが動く省力的な演出手法をバンクと組み合わせて使う、限られた枚数で動きを表現する手法を何というでしょう？,リミテッドアニメーション,limited animation。手塚治虫がテレビアニメで確立。フルアニメーションと対比。,アニメ&ゲーム,2.5,"アニメ&ゲーム,アニメ,制作"
ポケモンの属性で、水タイプに強く、ほのお・こおり・どく・ひこう・むしタイプに弱い属性は何でしょう？,くさタイプ（草タイプ）,Grass type。フシギダネ・チコリータなど。地面タイプにも強い。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,ポケモン"
吾峠呼世晴の「鬼滅の刃」で、炭治郎が鱗滝左近次に教わった最初の剣術の流派は何でしょう？,水の呼吸（みずのこきゅう）,元柱の鱗滝左近次に教わった。後にヒノカミ神楽も習得。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,鬼滅の刃"
FromSoftwareとジョージ・R・R・マーティンがコラボした、2022年発売のオープンワールドアクションRPGは何でしょう？,エルデンリング（Elden Ring）,The Game Awards 2022でGOTY受賞。宮崎英高ディレクター。2000万本以上。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,アクション"
アンパンマンの作者として知られる、「それいけ！アンパンマン」の原作漫画を描いた漫画家は誰でしょう？,やなせたかし,本名・柳瀬嵩。1973年から絵本シリーズ。1988年からテレビアニメ。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,キャラクター"
ゲームの用語で、特定のスキルや装備の効果が弱く修正されることを何というでしょう？,ナーフ（nerf）,Nerfはスポンジ銃のブランド名から。対義語はバフ（buff）。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
KADOKAWA傘下のメディアミックス作品で、異世界に転生した主人公がチートスキルで活躍するジャンルを何というでしょう？,異世界転生（いせかいてんせい）,「なろう系」とも。小説家になろう発祥。Re:ゼロ・このすばなどが代表作。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,ジャンル"
押井守が監督を務めた、草薙素子が主人公のサイバーパンクアニメ映画は何でしょう？,GHOST IN THE SHELL / 攻殻機動隊,1995年公開。士郎正宗原作。マトリックスに影響を与えた。,アニメ&ゲーム,2.5,"アニメ&ゲーム,アニメ,SF"
コーエーテクモのシミュレーションゲームで、三国志の武将を操作して中国統一を目指すシリーズは何でしょう？,三國志（さんごくし）,1985年第1作。光栄（現コーエーテクモ）の代表作。歴史シミュレーションの草分け。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,シミュレーション"
ゲーム実況やeスポーツの配信で最も使われているAmazon傘下のライブ配信プラットフォームは何でしょう？,Twitch（ツイッチ）,2011年設立。2014年にAmazonが買収。ゲーム配信が中心。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,配信"
アニメで、漫画原作がまだ終わっていない段階でアニメ独自の結末を迎えることを何エンドというでしょう？,アニメオリジナルエンド（アニオリ）,anime original ending。原作と異なる展開。鋼の錬金術師（2003年版）など。,アニメ&ゲーム,2.5,"アニメ&ゲーム,アニメ,用語"
谷口悟朗が監督を務めた、特殊な瞳の力で世界を変革するブリタニアの皇子を主人公とするロボットアニメは何でしょう？,コードギアス 反逆のルルーシュ,2006年放送開始。サンライズ制作。戦略的ストーリーが特徴。,アニメ&ゲーム,2.5,"アニメ&ゲーム,アニメ,ロボット"
ポケモンバトルで、相手の弱点をつく「こうかはばつぐんだ」の攻撃は、ダメージが通常の何倍になるでしょう？,2倍（にばい）,super effective。4倍弱点（二重弱点）のケースもある。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,ポケモン"
高橋陽一の漫画で、サッカー少年の大空翼が世界を舞台に活躍するスポーツ漫画は何でしょう？,キャプテン翼,Captain Tsubasa。1981年連載開始。世界中のサッカー選手に影響を与えた。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,スポーツ"
ゲーム内で、最強の敵や最後に戦う敵のことを英語で何というでしょう？,ラスボス（ラストボス）,last boss。和製英語。英語圏ではfinal bossが一般的。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
漫画雑誌のページの端（柱）に、作者の近況や短いコメントが載るスペースを何というでしょう？,柱コメント（はしらコメント）,作者近況とも。ジャンプの巻末コメントも有名。読者との交流手段。,アニメ&ゲーム,2.5,"アニメ&ゲーム,漫画,用語"
miHoYoが開発した、テイワット大陸を舞台にした基本プレイ無料のオープンワールドRPGは何でしょう？,原神（げんしん）,Genshin Impact。2020年リリース。マルチプラットフォーム。世界的大ヒット。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,RPG"
ワンパンマンの作画を担当している漫画家は誰でしょう？,村田雄介（むらたゆうすけ）,原作はONE。となりのヤングジャンプで連載。「アイシールド21」の作画も担当。,アニメ&ゲーム,2.5,"アニメ&ゲーム,漫画,作家"
機動戦士ガンダムシリーズで、ジオン軍の代表的な量産型モビルスーツの名前は何でしょう？,ザク,MS-06ザクII。緑色の機体が象徴。モノアイが特徴。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,ガンダム"
ゲームで、同じステージやミッションを繰り返してアイテムや経験値を稼ぐ行為を何というでしょう？,周回（しゅうかい）,grinding/farming。ソシャゲのイベント周回。効率重視のプレイスタイル。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
アニメで、本編の前に流れる主題歌のことを英語の略称で何というでしょう？,OP（オーピー）,Openingの略。アニメの導入部。EDはエンディングテーマ。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,用語"
藤本タツキの漫画で、悪魔のポチタと融合した主人公デンジが悪魔と戦う物語は何でしょう？,チェンソーマン,Chainsaw Man。2018年連載開始。第2部は少年ジャンプ+で連載。MAPPAがアニメ制作。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,少年ジャンプ"
Riot Gamesが開発した、5対5の戦術的FPSゲームで、エージェントと呼ばれるキャラクターを選んで戦うゲームは何でしょう？,VALORANT（ヴァロラント）,2020年リリース。基本プレイ無料。eスポーツシーンで急成長。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,FPS"
宮崎駿監督のジブリ作品で、飛行石を持つ少女シータと少年パズーの冒険を描いた映画は何でしょう？,天空の城ラピュタ,1986年公開。「バルス」は日本のTwitter界で有名。ジブリ初の劇場長編。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,ジブリ"
テーブルトップRPGの原点で、剣と魔法の世界を舞台にした1974年発売のゲームは何でしょう？,ダンジョンズ&ドラゴンズ（D&D）,Dungeons & Dragons。ゲイリー・ガイギャックスらが作成。TRPGの元祖。,アニメ&ゲーム,2.5,"アニメ&ゲーム,ゲーム,TRPG"
漫画の作画技法で、集中線や効果音を表す文字などの漫画特有の表現技法を総称して何というでしょう？,漫符（まんぷ）,汗マーク・怒りマーク・ため息なども。漫画記号とも呼ばれる。,アニメ&ゲーム,2.5,"アニメ&ゲーム,漫画,用語"
尾田栄一郎の「ONE PIECE」で、ルフィが率いる海賊団の名前は何でしょう？,麦わらの一味（むぎわらのいちみ）,Straw Hat Pirates。ルフィの麦わら帽子が由来。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,ONE PIECE"
ゲームの開発で、ゲームの世界観やレベルデザインを担当する職種を英語で何というでしょう？,ゲームデザイナー,game designer。プランナーとも。宮本茂・小島秀夫らが有名。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
漫画「遊☆戯☆王」を原作とする、ギネス世界記録で世界で最も売れたトレーディングカードゲームの正式名称は何でしょう？,遊☆戯☆王オフィシャルカードゲーム,OCG。コナミが製造。世界累計販売枚数350億枚以上。,アニメ&ゲーム,2.5,"アニメ&ゲーム,ゲーム,カードゲーム"
ゲームで、プレイヤー同士が協力して敵やステージを攻略する遊び方を英語で何というでしょう？,協力プレイ（Co-op）,cooperative play。オンラインでのマルチプレイとは別概念。,アニメ&ゲーム,2.0,"アニメ&ゲーム,ゲーム,用語"
水木しげるが描いた、妖怪たちと人間の触れ合いを描くホラー漫画の代表作は何でしょう？,ゲゲゲの鬼太郎,1965年連載開始。目玉おやじが有名。何度もアニメ化。妞気で攻撃。,アニメ&ゲーム,2.0,"アニメ&ゲーム,漫画,ホラー"
アニメや漫画のキャラクターを応援する活動を、「おし」という言葉を使って「何活」というでしょう？,推し活（おしかつ）,グッズ購入、ライブ参戦、布教活動などが含まれる。2021年の新語・流行語大賞ノミネート。,アニメ&ゲーム,2.0,"アニメ&ゲーム,アニメ,用語"
