問題文,答え,メモ,ジャンル,難易度,タグ
百人一首第16番「立ち別れ いなばの山の 峰に生ふる まつとし聞かば 今帰り来む」で、「待つ（待っていてくれるなら）」と掛け言葉になっている植物は何でしょう？,松（まつ）,中納言行平の第16番の歌です,文系学問,2.8,"文系学問,百人一首,古典"
競技かるたの試合前に15分間与えられる、自陣・相手陣の合計50枚の札の位置を覚えるための時間を何というでしょう？,暗記（あんき）時間,試合前に15分間与えられます,スポーツ,2.5,"百人一首,競技かるた,スポーツ"
競技かるたの試合で、両者が並べる取り札は合計何枚でしょう？,50枚（各陣25枚）,各プレイヤーが自陣に25枚を並べるため合計50枚。読み札の総数は100枚,スポーツ,2.0,"百人一首,競技かるた,スポーツ"
毎年1月に滋賀県・近江神宮で行われる、競技かるたの最高位を決める大会は何でしょう？,名人位・クイーン位決定戦,毎年1月に近江神宮で開催される競技かるたの最高位決定戦,スポーツ,2.0,"百人一首,競技かるた,スポーツ"
競技かるたの聖地として名人位・クイーン位決定戦が開催される神社はどこでしょう？,近江神宮,天智天皇を祀る滋賀県大津市の神社です,スポーツ,1.8,"百人一首,競技かるた,スポーツ,地理"
末次由紀による競技かるたを題材にした漫画で、2019年にアニメ第3期まで制作された作品は何でしょう？,ちはやふる,「カルタ界のバイブル」とも言われます,エンターテインメント,1.2,"百人一首,競技かるた,漫画,アニメ"
漫画「ちはやふる」の主人公・綾瀬千早の目標でもある、毎年1月に近江神宮で争われる、競技かるたの女子の最高位は何でしょう？,クイーン,幼なじみの太一・新とともに成長していきます,エンターテインメント,1.5,"百人一首,競技かるた,漫画"
2016年に広瀬すず主演で公開された、「ちはやふる」の実写映画の副題は何でしょう？,上の句・下の句,2部作で公開されました,エンターテインメント,2.5,"百人一首,競技かるた,映画"
「ちはやふる」の中で、主人公が競技かるたに出会うきっかけとなった、福井から来た同級生の名前は何でしょう？,綿谷新（わたやあらた）,かるたの名手で「新」の名前は百人一首から取られています,エンターテインメント,2.0,"百人一首,競技かるた,漫画"
在原業平の歌「ちはやふる 神代もきかず 竜田川」で、「ちはやふる」は何にかかる枕詞でしょう？,神（かみ）にかかる枕詞,「ちはやふる 神代もきかず」の「ちはやふる」です,文系学問,3.0,"百人一首,古典,文学"
2024年のNHK大河ドラマ「光る君へ」でも描かれた、一条天皇の后・彰子に仕えた女房で、百人一首第57番の歌人は誰でしょう？,紫式部,紫式部は藤原為時の娘。道長の娘・彰子（藤原彰子）に仕えた女房歌人,文系学問,2.0,"百人一首,歴史,文学"
ハインツ社のソースで有名な「○○バラエティーズ」にも使われる数字で、百人一首における紫式部の歌の番号は何番でしょう？,57番,ハインツ57バラエティーズは19世紀末のマーケティングスローガン。百人一首では紫式部の歌「めぐりあひて」が57番,文系学問,2.0,"百人一首,歴史,文学"
「小倉百人一首」の名称の由来となった、藤原定家が山荘を構えた京都の山は何でしょう？,小倉山,藤原定家の山荘「時雨亭」があった場所です,文系学問,2.0,"百人一首,歴史,地理"
大化の改新を主導し、「秋の田の かりほの庵の 苫をあらみ」を詠んだ百人一首第1番の歌人は誰でしょう？,天智天皇,7世紀の天皇で、大化の改新を主導しました,文系学問,1.5,"百人一首,歴史,古典"
古今和歌集の仮名序で紀貫之が選んだ、在原業平・小野小町・僧正遍昭・喜撰法師・文屋康秀・大友黒主の6人の優れた歌人の総称は何でしょう？,六歌仙,古今和歌集の仮名序で紀貫之が選定しました,文系学問,2.5,"百人一首,歴史,古典"
905年に醍醐天皇の命で編纂された、百人一首の約4割の歌の出典でもある、初めての勅撰和歌集は何でしょう？,古今和歌集,905年に醍醐天皇の命で編纂されました,文系学問,2.0,"百人一首,古典,文学"
「むすめふさほせ」で覚える一字決まりの「む」、「村雨の 露もまだひぬ 槇の葉に」を詠んだ百人一首第64番の作者は誰でしょう？,寂蓮法師,「む」から始まる上の句は百人一首でこの1首のみ,文系学問,,"文系学問,百人一首,競技かるた"
天徳内裏歌合で壬生忠見と競い勝利した、「忍ぶれど 色に出でにけり わが恋は」を詠んだ百人一首第40番の歌人は誰でしょう？,平兼盛,天徳内裏歌合での名歌です,文系学問,3.0,"文系学問,百人一首,古典"
「逢ひみての のちの心に くらぶれば 昔はものを 思はざりけり」を詠んだ百人一首第43番の歌人は誰でしょう？,権中納言敦忠,藤原敦忠のことです,文系学問,3.2,"文系学問,百人一首,古典"
「嘆けとて 月やはものを 思はする かこちがほなる わが涙かな」を詠んだ百人一首第86番の歌人は誰でしょう？,西行法師,旅と月を愛した漂泊の歌人です,文系学問,2.8,"文系学問,百人一首,古典"
和歌の技法「本歌取り」を体系化・理論化した、新古今和歌集の主要な撰者でもある鎌倉初期の歌人は誰でしょう？,藤原定家,百人一首の撰者でもあります,文系学問,3.0,"文系学問,百人一首,古典"
「花さそふ 嵐の庭の 雪ならで ふりゆくものは わが身なりけり」を詠んだ百人一首第96番の歌人は誰でしょう？,入道前太政大臣（藤原公経）,藤原定家の義父です,文系学問,3.3,"文系学問,百人一首,古典"
崇徳院の命で詞花和歌集を撰した、「秋風にたなびく雲の絶え間より もれ出づる月の影のさやけさ」を詠んだ百人一首第79番の歌人は誰でしょう？,左京大夫顕輔,崇徳院の命で詞花集を撰しました,文系学問,3.5,"文系学問,百人一首,古典"
「難波潟 みじかき芦の ふしのまも あはでこの世を すぐしてよとや」を詠んだ百人一首第19番の歌人は誰でしょう？,伊勢,平安前期の女流歌人です,文系学問,3.0,"文系学問,百人一首,古典"
白居易（白楽天）の漢詩を和歌に翻案した歌集「句題和歌」を著した平安の歌人で、「月みれば ちぢにものこそ 悲しけれ わが身ひとつの 秋にはあらねど」を詠んだ百人一首第23番の作者は誰でしょう？,大江千里,唐詩を和歌に訳したほど漢籍に精通していました,文系学問,3.2,"文系学問,百人一首,古典"
柿本人麻吕の和歌に登場する「あしびきの」は何にかかる枕詞でしょう？,山（山に関係する語）,第3番「あしびきの 山鳥の尾の」で使われています,文系学問,2.0,"文系学問,百人一首,古典,語学"
「ひさかたの」は何にかかる枕詞でしょう？,光・天・月・雨など天に関係する語,第33番「ひさかたの 光のどけき」で使われています,文系学問,2.0,"文系学問,百人一首,古典,語学"
在原業平の歌「ちはやふる 神代もきかず 竜田川」で紅葉の名所として詠まれた竜田川は現在の何県にある川でしょう？,奈良県,紅葉の名所として有名です,文系学問,2.5,"文系学問,百人一首,地理"
「しのぶれど 色に出でにけり わが恋は」の「しのぶれど」の「しのぶ」に掛けられた植物は何でしょう？,忍草（しのぶ草）,「忍ぶ」（恋を隠す）と「忍草」の掛詞です,文系学問,3.0,"文系学問,百人一首,古典,語学"
「あらざらむ この世のほかの 思ひ出に いまひとたびの あふこともがな」を詠んだ百人一首第56番の歌人は誰でしょう？,和泉式部,「恋の歌人」として名高い平安の女流歌人です,文系学問,2.0,"文系学問,百人一首,古典"
「母に代作を頼んでいるのだろう」と藤原定頼にからかわれ、袖を引き止め即興の一首でやり込めたことでも名高い、和泉式部の娘・百人一首第60番の歌人は誰でしょう？,小式部内侍,和泉式部の娘で早世した才女です,文系学問,2.5,"文系学問,百人一首,古典"
「忘れじの 行く末までは かたければ 今日を限りの 命ともがな」を詠んだ百人一首第54番の歌人は誰でしょう？,儀同三司母（高階貴子）,藤原伊周の母です,文系学問,3.5,"文系学問,百人一首,古典"
「もろともに あはれと思へ 山桜 花よりほかに 知る人もなし」を詠んだ百人一首第66番の高僧は誰でしょう？,前大僧正行尊,修験道の行者でもありました,文系学問,3.2,"文系学問,百人一首,古典"
「わが袖は 潮干に見えぬ 沖の石の 人こそ知らね かわく間もなし」を詠んだ百人一首第92番の歌人は誰でしょう？,二条院讃岐,平安末期から鎌倉初期の女流歌人です,文系学問,3.5,"文系学問,百人一首,古典"
「玉の緒よ 絶えなば絶えね ながらへば 忍ぶることの よわりもぞする」を詠んだ百人一首第89番の歌人は誰でしょう？,式子内親王,後白河法皇の皇女です,文系学問,2.5,"文系学問,百人一首,古典"
「きりぎりす 鳴くや霜夜の さむしろに 衣かたしき ひとりかも寝む」を詠んだ百人一首第91番の作者は誰でしょう？,後京極摂政前太政大臣（藤原良経）,藤原定家の親友でした,文系学問,3.5,"文系学問,百人一首,古典"
鹬倉幕府3代将軍として知られ、鶴岡八幡宮で甩・公暁に撃殺された、百人一首第93番「世の中は 常にもがもな 渚こぐ」を詠んだ歌人は誰でしょう？,鎌倉右大臣（源実朝）,鎌倉幕府3代将軍で若くして暗殺されました,文系学問,2.5,"文系学問,百人一首,古典,歴史"
1205年に後鳥羽院の命で藤原定家らが編んだ、百人一首後半の歌の主要な出典でもある第８番目の勅撰和歌集は何でしょう？,新古今和歌集,後鳥羽院の命で1205年に成立しました,文系学問,2.5,"文系学問,百人一首,古典,文学"
54年分に及ぶ膨大な記録で、百人一首撰者・藤原定家が書いた日記は何でしょう？,明月記,54年分に及ぶ大部の日記です,文系学問,3.0,"文系学問,百人一首,歴史,文学"
「春道列樹」という歌人が詠んだ百人一首第32番「山川に 風のかけたる しがらみは 流れもあへぬ 紅葉なりけり」の「しがらみ」の意味は何でしょう？,水の流れをせき止めるための柵・枠,紅葉が川をせき止めている情景を詠んでいます,文系学問,3.0,"文系学問,百人一首,語学,古典"
競技かるたで「一字決まり」と呼ばれる、上の句の最初の一文字で取り札が決まる札は全部で何枚あるでしょう？,7枚,む・す・め・ふ・さ・ほ・せの7枚です,スポーツ,3.0,"百人一首,競技かるた"
百人一首の中で「ふ」から始まる一字決まりの歌「ふくからに 秋の草木の しをるれば むべ山風を 嵐といふらむ」の作者は誰でしょう？,文屋康秀,六歌仙の一人です,文系学問,2.5,"文系学問,百人一首,競技かるた,古典"
競技かるたにおいて、読み上げの前に詠まれる「序歌」として使われる歌はどれでしょう？,難波津に 咲くやこの花 冬ごもり 今は春べと 咲くやこの花,王仁（わに）が詠んだとされる序歌です,スポーツ,3.0,"百人一首,競技かるた"
百人一首の第100番「ももしきや 古き軒端の しのぶにも なほあまりある 昔なりけり」を詠んだ歌人は誰でしょう？,順徳院,承久の乱で佐渡に流された院です,文系学問,2.5,"文系学問,百人一首,古典,歴史"
「す」から始まる一字決まりの歌「すみの江の 岸による波 よるさへや 夢の通ひ路 人目よくらむ」の作者は誰でしょう？,藤原敏行朝臣,一字決まり「むすめふさほせ」の「す」の歌です,文系学問,2.5,"文系学問,百人一首,競技かるた,古典"
「むすめふさほせ」で覚える一字決まりの「ほ」、「ほととぎす 鳴きつる方を 眺むれば ただ有明の 月ぞ残れる」を詠んだ百人一首第81番の作者は誰でしょう？,後徳大寺左大臣（藤原実定）,「ほ」から始まる上の句は百人一首でこの1首のみ,文系学問,2.8,"文系学問,百人一首,競技かるた,古典"
「さ」から始まる一字決まりの歌「さびしさに 宿を立ち出でて ながむれば いづこも同じ 秋の夕暮れ」を詠んだ百人一首第70番の歌人は誰でしょう？,良暹法師,一字決まり「むすめふさほせ」の「さ」の歌です,文系学問,2.8,"文系学問,百人一首,競技かるた,古典"
天徳内裏歌合で平兼盛と対戦し、村上天皇が対戦相手の歌を口ずさんだことで判定が下り敗北した、「恋すてふ わが名はまだき 立ちにけり 人知れずこそ 思ひそめしか」を詠んだ百人一首第41番の歌人は誰でしょう？,壬生忠見,敗北の衝撃で食事がのどを通らなくなったとも伝わります,文系学問,3.5,"文系学問,百人一首,古典"
古今和歌集の撰者の一人でもある紀貫之の従兄弟として知られ、「ひさかたの 光のどけき 春の日に しづ心なく 花の散るらむ」を詠んだ百人一首第33番の歌人は誰でしょう？,紀友則,古今集の四人の撰者の一人（紀貫之・凡河内躬恒・壬生忠岑・紀友則）,文系学問,3.0,"文系学問,百人一首,古典"
和歌の「幽玄」という美的理念を提唱し、新古今集の監修にも関わった、藤原定家の父であり百人一首第83番「世の中よ 道こそなけれ 思ひ入る 山の奥にも 鹿ぞ鳴くなる」の作者は誰でしょう？,皇太后宮大夫俊成（藤原俊成）,90歳まで生きた長寿の歌人でもあります,文系学問,3.5,"文系学問,百人一首,古典"
「陸奥の歌を詠むため日焼けするまで引きこもり、旅帰りと偽った」という逸話でも知られる、「嵐吹く 三室の山の もみぢ葉は 竜田の川の 錦なりけり」を詠んだ百人一首第69番の歌人は誰でしょう？,能因法師,「十訓抄」などに逸話が伝わります,文系学問,3.5,"文系学問,百人一首,古典"
三十六歌仙を選定したことでも知られ、「滝の音は 絶えて久しく なりぬれど 名こそ流れて なほ聞こえけれ」を詠んだ百人一首第55番の平安中期の歌人は誰でしょう？,大納言公任（藤原公任）,「大鏡」にも登場する平安貴族の代表的人物のひとりです,文系学問,3.5,"文系学問,百人一首,古典"
女流日記文学の先駆けとも言われる「蜻蛉日記」の作者で、「なげきつつ ひとりぬる夜の あくるまは いかに久しき ものとかは知る」を詠んだ百人一首第53番の歌人は誰でしょう？,右大将道綱母,藤原兼家の妻で、道綱の母。蜻蛉日記に夫の不実への苦悩が記されています,文系学問,3.5,"文系学問,百人一首,古典,文学"
夫・大江匡衡から「匡衡衛門」とも呼ばれた平安中期の女流歌人で、「やすらはで 寝なましものを 小夜ふけて かたぶくまでの 月を見しかな」を詠んだ百人一首第59番の作者は誰でしょう？,赤染衛門,紫式部・和泉式部と同時代の歌人です,文系学問,3.5,"文系学問,百人一首,古典"
藤原彰子のもとへ奈良から八重桜が届いた際、紫式部から受け取って即興で「いにしへの 奈良の都の 八重桜 けふ九重に にほひぬるかな」と詠み喝采を浴びた、百人一首第61番の女流歌人は誰でしょう？,伊勢大輔,「九重」は宮中（九つの門）の意で、奈良と京の掛け詞になっています,文系学問,3.5,"文系学問,百人一首,古典"
眼病に悩みながら在位し、藤原道長に退位を迫られた、「心にも あらでうき世に ながらへば 恋しかるべき 夜半の月かな」を詠んだ百人一首第68番の天皇は誰でしょう？,三条院,道長との確執の末に退位した天皇です,文系学問,3.5,"文系学問,百人一首,古典,歴史"
鳥羽天皇の中宮・璋子（たまこ）に仕えた女房で、「長からむ 心も知らず 黒髪の 乱れて今朝は ものをこそ思へ」を詠んだ百人一首第80番の歌人は誰でしょう？,待賢門院堀河,「待賢門院」は院号で、堀河は女房名です,文系学問,3.2,"文系学問,百人一首,古典"
「金葉和歌集」の撰者としても知られ、「うかりける 人を初瀬の 山おろしよ はげしかれとは 祈らぬものを」を詠んだ百人一首第74番の歌人は誰でしょう？,源俊頼朝臣,長谷寺（初瀬）への祈りが成就しない恨みを詠んでいます,文系学問,3.5,"文系学問,百人一首,古典"
子の光覚の維摩会講師就任を藤原忠通に頼み、叶えられない焦りを「させもが露」（清水観音の言葉の引用）に込めて詠んだ、百人一首第75番の歌人は誰でしょう？,藤原基俊,「契りおきし させもが露を 命にて あはれ今年の 秋もいぬめり」が第75番の歌,文系学問,4.0,"文系学問,百人一首,古典"
源氏物語「須磨の巻」の情景を彷彿とさせると言われる、「淡路島 かよふ千鳥の 鳴く声に いく夜ねざめぬ 須磨の関守」を詠んだ百人一首第78番の歌人は誰でしょう？,源兼昌,平安後期の歌人。詳細な伝記はほとんど残っていません,文系学問,3.5,"文系学問,百人一首,古典"
天智天皇の娘として生まれ天武天皇の皇后となった、百人一首第2番「春すぎて 夏来にけらし 白妙の」を詠んだ持統天皇の即位前の名（諡号以前の名）は何でしょう？,鸕野讃良（うのさらら）皇女,天智天皇の娘で、天武天皇の皇后。即位後に持統天皇と称されました,文系学問,4.0,"文系学問,百人一首,歴史"
「荒三位（あらさんみ）」の異名を持つ荒れた性格で知られ、三条天皇の孫にあたる、「今はただ 思ひ絶えなむ とばかりを 人づてならで 言ふよしもがな」を詠んだ百人一首第63番の歌人は誰でしょう？,左京大夫道雅,当子内親王への恋が許されず引き裂かれたと伝わります,文系学問,4.0,"文系学問,百人一首,古典,歴史"
坂上田村麻呂の子孫とも伝わり、「朝ぼらけ 有明の月と みるまでに 吉野の里に 降れる白雪」と吉野の雪景色を詠んだ百人一首第31番の歌人は誰でしょう？,坂上是則,三十六歌仙の一人です,文系学問,3.5,"文系学問,百人一首,古典"
90歳を超えても熱心に和歌を詠み続けたとされる長命の歌人で、「思ひわび さても命は あるものを 憂きにたへぬは 涙なりけり」を詠んだ百人一首第82番の作者は誰でしょう？,道因法師,平安後期の歌人で、老齢になっても歌合での活躍が記録されています,文系学問,3.5,"文系学問,百人一首,古典"
和歌の故実・古説を集めた歌論書「袋草紙（ふくろぞうし）」の著者でもある、「ながらへば またこのごろや しのばれむ うしとみし世ぞ 今は恋しき」を詠んだ百人一首第84番の歌人は誰でしょう？,藤原清輔朝臣,父・顕輔（79番）も百人一首に選ばれています。親子で選出された珍しい例,文系学問,4.0,"文系学問,百人一首,古典"
960年に村上天皇が主催し、百人一首の歌人・平兼盛と壬生忠見が「をとこ山」の題で歴史的名勝負を演じた宮廷の歌合わせを何というでしょう？,天徳内裏歌合（てんとくだいりうたあわせ）,村上天皇が平兼盛の歌を口ずさんだことで勝敗が決したと伝わります,文系学問,3.5,"文系学問,百人一首,古典,歴史"
二十一歳の若さで夭折した美男の貴公子として知られ、「君がため 惜しからざりし 命さへ ながくもがなと 思ひけるかな」を詠んだ百人一首第50番の歌人は誰でしょう？,藤原義孝,容姿が美しく才能にも恵まれながら疫病で早世しました,文系学問,3.5,"文系学問,百人一首,古典"
六歌仙の6人のうち、唯一百人一首に選ばれなかった歌人は誰でしょう？,大友黒主（おおとものくろぬし）,六歌仙の6人のうち大友黒主だけが百人一首に選ばれていません,文系学問,3.5,"文系学問,百人一首,古典"
百人一首のうち後鳥羽院（99番）と順徳院（100番）の歌は、同じ「乱」に敗れ島流しとなった2人の院の歌として並んでいますが、この「乱」は何でしょう？,承久の乱,1221年に後鳥羽院が起こした倒幕の試み。後鳥羽院→隠岐、順徳院→佐渡に流されました,文系学問,2.5,"文系学問,百人一首,歴史"
百人一首には母と娘がともに選ばれているペアが2組あります。紫式部と大弐三位の母娘に加え、もう1組の「母」にあたる、「あらざらむ この世のほかの 思ひ出に」を詠んだ百人一首第56番の歌人は誰でしょう？,和泉式部,和泉式部（56番）と小式部内侍（60番）が母娘。紫式部（57番）と大弐三位（58番）も母娘,文系学問,3.0,"文系学問,百人一首,古典"
百人一首に選ばれた歌人のうち、小野篁（11番）と後鳥羽院（99番）はそれぞれ異なる理由で流罪となりながら同じ島に流されました。その島（現在の島根県）はどこでしょう？,隠岐（おき）,小野篁は遣唐使拒否・風刺詩で、後鳥羽院は承久の乱で隠岐に流されました,文系学問,3.0,"文系学問,百人一首,歴史,地理"
百人一首に選ばれた流罪体験を持つ歌人の中で、崇徳院（77番）が讃岐へ、後鳥羽院（99番）が隠岐へ流された一方、百人一首第100番の歌人が流罪となった新潟県の島はどこでしょう？,佐渡（さど）,順徳院（100番）が流された佐渡。崇徳院→讃岐・後鳥羽院→隠岐・順徳院→佐渡と覚える,文系学問,3.0,"文系学問,百人一首,歴史,地理"
百人一首に選ばれた天皇・院の中で、唯一の女性天皇として歌が選ばれているのは誰でしょう？,持統天皇,百人一首に選ばれた天皇・院は天智天皇・持統天皇・陽成院・光孝天皇・三条院・後鳥羽院・順徳院の7人,文系学問,2.5,"文系学問,百人一首,歴史"
百人一首には「秋の夕暮れ」という結句を持つ「三夕（さんせき）の歌」が3首あります。良暹法師（70番）・西行法師（87番）に加え、「村雨の 露もまだひぬ 槇の葉に 霧立のぼる 秋の夕暮れ」と詠んだ第64番の作者は誰でしょう？,寂蓮法師,「秋の夕暮れ」で終わる三夕の歌は百人一首に3首（64・70・87番）。寂蓮法師の64番は一字決まり「む」でもあります,文系学問,3.0,"文系学問,百人一首,古典"
「やまとうたは 人の心を種として よろづの言の葉とぞなれりける」で始まる日本初の和文の序（仮名序）を書き、古今和歌集の編纂を主導した百人一首第35番の歌人は誰でしょう？,紀貫之,35番の歌は「人はいさ 心も知らず ふるさとは 花ぞ昔の 香ににほひける」,文系学問,3.0,"文系学問,百人一首,古典,文学"
百人一首第86番の西行法師の歌が18首と最多収録されていることでも知られる勅撰集で、後白河院の命により藤原俊成が単独で撰進した第7番目の勅撰和歌集は何でしょう？,千載和歌集（せんざいわかしゅう）,第7番目の勅撰集。藤原俊成が単独で撰進。百人一首86番の西行法師の歌が18首と最多収録,文系学問,3.5,"文系学問,百人一首,古典,文学"
百人一首の中で「難波（なにわ）」が詠み込まれた歌は2首あります。19番・伊勢の「難波潟 みじかき芦の」と並んで、「難波江の 葦のかりねの ひとよゆゑ みをつくしてや 恋ひわたるべき」を詠んだ百人一首第88番の作者は誰でしょう？,皇嘉門院別当（こうかもんいんのべっとう）,「みをつくし」は航路の標識（澪標）と「身を尽くし」の掛詞です,文系学問,3.5,"文系学問,百人一首,古典"
