問題文,答え,メモ,ジャンル,難易度,タグ
NHK紅白歌合戦でラジオ放送として初めて行われたのは西暦何年でしょう？,1951年,第1回は1月3日に放送。テレビ放送は1953年の第4回から。大晦日に移行したのは第4回。,芸能,3.0,"芸能,テレビ,日本"
テレビの視聴率調査を日本で行っている、東京に本社を置く調査会社は何でしょう？,ビデオリサーチ,Video Research。1962年設立。世帯視聴率・個人視聴率を調査。,芸能,2.5,"芸能,テレビ,日本"
芸能ニュースや事件・生活情報など幅広い話題を扱うテレビの情報・娯楽番組を総称して何というでしょう？,ワイドショー,日本独自の番組形式。コメンテーターがスタジオで議論する形式が特徴。,芸能,2.0,"芸能,テレビ,用語"
毎年大晦日に放送されるNHK紅白歌合戦で、女性歌手が所属するチームの色は何でしょう？,紅（あか）,紅組。男性は白組。応援合戦あり。,芸能,2.0,"芸能,テレビ,日本"
ジャズの発祥地とされる、アメリカ・ルイジアナ州の都市はどこでしょう？,ニューオーリンズ,New Orleans。19世紀末〜20世紀初頭に誕生。ディキシーランド・ジャズの本場。,芸能,2.0,"芸能,音楽,ジャズ"
「キング・オブ・ポップ」の愛称で知られ、「スリラー」「ビリー・ジーン」などのヒット曲がある歌手は誰でしょう？,マイケル・ジャクソン,Michael Jackson。「スリラー」は史上最も売れたアルバム。ムーンウォーク。,芸能,2.0,"芸能,音楽,ポップス"
「ボヘミアン・ラプソディ」「ウィ・ウィル・ロック・ユー」などのヒット曲で知られる、フレディ・マーキュリーがボーカルを務めたイギリスのロックバンドは何でしょう？,クイーン,Queen。1970年結成。2018年に伝記映画「ボヘミアン・ラプソディ」公開。,芸能,2.0,"芸能,音楽,ロック"
ソロ曲「イマジン」で知られ、平和運動家としても活動した、ビートルズのメンバーは誰でしょう？,ジョン・レノン,John Lennon。1980年に銃撃され死去。平和運動家としても活動。,芸能,2.0,"芸能,音楽,ロック"
「ローリング・ストーンズ」のボーカリストで、「サティスファクション」などのヒット曲で知られるイギリスのミュージシャンは誰でしょう？,ミック・ジャガー,Mick Jagger。1962年にバンド結成。ナイト爵位受勲。,芸能,2.5,"芸能,音楽,ロック"
エルヴィス・プレスリーが「キング」と称される音楽ジャンルは何でしょう？,ロックンロール,Rock and Roll。1950年代にアメリカで誕生。「ハウンド・ドッグ」等のヒット曲。,芸能,2.0,"芸能,音楽,ロック"
ヒップホップの4大要素とは、MC・DJ・ブレイクダンスと、もう一つは何でしょう？,グラフィティ,graffiti。1970年代NYサウスブロンクスで誕生。アフリカ・バンバータが体系化。,芸能,2.5,"芸能,音楽,ヒップホップ"
レゲエの神様と呼ばれ、「ノー・ウーマン・ノー・クライ」などの曲で知られるジャマイカのミュージシャンは誰でしょう？,ボブ・マーリー,Bob Marley。ラスタファリ運動の象徴。1981年没。,芸能,2.0,"芸能,音楽,レゲエ"
日本の演歌で「津軽海峡・冬景色」「天城越え」などのヒット曲で知られる女性歌手は誰でしょう？,石川さゆり（いしかわさゆり）,1977年「津軽海峡・冬景色」が大ヒット。NHK紅白歌合戦常連。,芸能,2.0,"芸能,音楽,演歌"
「川の流れのように」「愛の讃歌」などのヒット曲で知られ、「昭和の歌姫」と呼ばれた歌手は誰でしょう？,美空ひばり（みそらひばり）,1937-1989。国民栄誉賞受賞。12歳でデビュー。日本の代表的歌手。,芸能,2.0,"芸能,音楽,歌謡"
音楽で、同じメロディーを異なる高さで追いかけるように歌う形式を何というでしょう？,輪唱（りんしょう）,round/canon。「かえるの合唱」「しずかな湖畔」が有名。,芸能,2.0,"芸能,音楽,用語"
西洋音楽で、全音と半音の組み合わせからなる7音で構成される音階の総称をカタカナで何というでしょう？,ダイアトニックスケール,diatonic scale。長音階と短音階がある。全音階とも。,芸能,2.5,"芸能,音楽,用語"
音楽の三要素とは、メロディー（旋律）・ハーモニー（和声）と、もう一つは何でしょう？,リズム（律動）,rhythm。拍子・テンポ・アクセントなどを含む。,芸能,2.0,"芸能,音楽,用語"
楽譜の冒頭に書かれる、ト音記号やヘ音記号を総称して何というでしょう？,音部記号（おんぶきごう）,clef。ト音記号はG clef、ヘ音記号はF clef。,芸能,2.0,"芸能,音楽,用語"
「ボレロ」「ダフニスとクロエ」「道化師の朝の歌」などの作品で知られる、「管弦楽の魔術師」と呼ばれたフランスの作曲家は誰でしょう？,ラヴェル,Maurice Ravel。「ボレロ」は同じメロディーが繰り返される。管弦楽の魔術師。,芸能,2.5,"芸能,音楽,クラシック"
1985年にアフリカの飢餓救済を目的として開催された、ロンドンとフィラデルフィアを衛星中継で結んだ大規模チャリティコンサートは何でしょう？,ライブエイド,Live Aid。ボブ・ゲルドフが主催。クイーン等が出演。,芸能,2.5,"芸能,音楽,イベント"
日本最大級の野外音楽フェスティバルで、新潟県湯沢町の苗場スキー場で開催されるイベントは何でしょう？,フジロックフェスティバル,FUJI ROCK FESTIVAL。1997年開始。スマッシュ主催。,芸能,2.0,"芸能,音楽,イベント"
グラミー賞はアメリカの音楽賞ですが、その名前の由来となった蓄音機のことを英語で何というでしょう？,グラモフォン,gramophone。全米レコーディング芸術科学アカデミー（NARAS）主催。,芸能,2.5,"芸能,音楽,賞"
1962年にデビューした、ポール・マッカートニー、ジョン・レノン、ジョージ・ハリスン、リンゴ・スターの4人からなるイギリスのロックバンドは何でしょう？,ビートルズ,The Beatles。リヴァプール出身。1970年解散。20世紀最大のバンド。,芸能,2.0,"芸能,音楽,ロック"
テレビドラマの撮影方法で、収録した映像を後から編集する方式に対し、カメラの前で生で演技を行いそのまま放送する方式を何というでしょう？,生放送（なまほうそう）,live broadcast。ニュース・スポーツ中継で多用。ハプニングのリスクあり。,芸能,2.0,"芸能,テレビ,用語"
日本のお笑いで、2人組の芸人が面白いことを言う「ボケ」と、それに対してツッコむ役割の相方を何というでしょう？,ツッコミ,漫才の基本構成。関西発祥。ボケの間違いを指摘する役割。,芸能,2.0,"芸能,お笑い,用語"
浅草を拠点とし、萩本欽一やビートたけしを輩出した、日本を代表する演芸場の名前は何でしょう？,浅草フランス座（あさくさフランスざ）,現・浅草東洋館も関連施設。ストリップ劇場でコント修行の場。,芸能,3.0,"芸能,お笑い,日本"
漫才コンビ「ダウンタウン」が司会を長年務め、お笑い芸人日本一を決定するM-1グランプリが初めて開催されたのは西暦何年でしょう？,2001年,第1回優勝は中川家。吉本興業が主催。毎年12月に開催。,芸能,2.5,"芸能,お笑い,日本"
劇団四季が日本で長期公演を行っている、アンドリュー・ロイド・ウェバー作曲のミュージカルで、猫たちが天上の世界に昇る一匹を選ぶ物語は何でしょう？,キャッツ,CATS。T.S.エリオットの詩集が原作。1983年日本初演。,芸能,2.0,"芸能,舞台,ミュージカル"
リン＝マニュエル・ミランダが脚本・作曲を手がけ、2015年にブロードウェイで初演された、アメリカ建国の父の生涯をヒップホップで描いたミュージカルは何でしょう？,ハミルトン,Hamilton。トニー賞11部門受賞。2020年にディズニー＋で配信。,芸能,2.5,"芸能,舞台,ミュージカル"
映画「サウンド・オブ・ミュージック」の劇中歌で、ドレミの歌を作詞したアメリカの作詞家は誰でしょう？,オスカー・ハマースタイン2世,Oscar Hammerstein II。作曲はリチャード・ロジャース。ロジャース＆ハマースタインのコンビ。,芸能,3.0,"芸能,舞台,ミュージカル"
世界三大映画祭とは、カンヌ国際映画祭、ヴェネツィア国際映画祭と、ドイツで開催されるもう一つは何でしょう？,ベルリン国際映画祭,Berlin International Film Festival。最高賞は金熊賞。毎年2月に開催。,芸能,2.0,"芸能,映画,賞"
カンヌ国際映画祭の最高賞を何というでしょう？,パルム・ドール,Palme d'Or。フランス語で「金のシュロの葉」。毎年5月に開催。,芸能,2.5,"芸能,映画,賞"
映画やゲームの制作で、実写では撮影できない映像を合成・加工する視覚効果技術を、アルファベット3文字で何というでしょう？,VFX（ブイエフエックス）,Visual Effects。CGI・モーションキャプチャー等を含む。実写合成も可能。,芸能,2.0,"芸能,映画,技術"
イタリア語で「美しい歌」を意味する、オペラで用いられる豊かで滑らかな歌唱法を何というでしょう？,ベルカント,bel canto。18-19世紀イタリアオペラの歌唱スタイル。ドニゼッティ・ベッリーニの作品に多い。,芸能,3.0,"芸能,音楽,クラシック"
「喜びの歌」のメロディーで知られ、EUの歌にも採用されている、ベートーヴェンの交響曲第何番でしょう？,第9番（だいきゅうばん）,交響曲第9番ニ短調「合唱付き」。シラーの詩「歓喜に寄す」。日本では年末に演奏される伝統。,芸能,2.0,"芸能,音楽,クラシック"
標準的なピアノの鍵盤は全部で何鍵あるでしょう？,88鍵（はちじゅうはちけん）,白鍵52＋黒鍵36＝88。7オクターブ＋3鍵。A0〜C8。,芸能,2.0,"芸能,音楽,楽器"
バイオリン・ビオラ・チェロ・コントラバスの4種類の弦楽器で編成される、室内楽の基本的な演奏形態を何というでしょう？,弦楽四重奏（げんがくしじゅうそう）,string quartet。バイオリン2・ビオラ1・チェロ1。ハイドンが確立。,芸能,2.0,"芸能,音楽,クラシック"
映画のジャンルで、フランス語で「黒い映画」を意味する、犯罪や陰謀を暗い雰囲気で描く作風を何というでしょう？,フィルム・ノワール,film noir。1940-50年代のハリウッド映画に多い。「マルタの鷹」等。,芸能,2.5,"芸能,映画,ジャンル"
シェイクスピアの四大悲劇とは、「ハムレット」「オセロ」「リア王」と、もう一つは何でしょう？,マクベス,Macbeth。スコットランドの将軍が王位を簒奪する物語。「きれいは汚い、汚いはきれい」。,芸能,2.0,"芸能,舞台,演劇"
宝塚歌劇団は5つの組で構成されていますが、花組・月組・雪組・星組と、もう一つは何でしょう？,宙組（そらぐみ）,1998年に新設。5番目の組。兵庫県宝塚市に本拠。,芸能,2.0,"芸能,舞台,日本"
映画の撮影で、カメラを固定したまま左右に回転させる撮影技法を何というでしょう？,パン,pan（パンニング）。上下はティルト。移動撮影はドリーやトラッキング。,芸能,2.5,"芸能,映画,技術"
1979年に開始された、毎年末に日本レコード大賞を発表する放送局はどこでしょう？,TBS,日本作曲家協会主催。1959年創設。当初はテレビ各局持ち回り。1969年からTBS独占放送。,芸能,2.5,"芸能,音楽,賞"
日本の伝統芸能で、三味線の伴奏に合わせて物語を語る芸能を総称して何というでしょう？,浄瑠璃（じょうるり）,語り物音楽。義太夫節が代表的。人形浄瑠璃（文楽）では人形と合わせる。,芸能,2.0,"芸能,伝統芸能,音楽"
ジャズ演奏で、テーマの後に演奏者が即興で自由にメロディーを作って演奏する部分を何というでしょう？,アドリブ（インプロヴィゼーション）,ad lib / improvisation。ジャズの核心。コード進行に基づく即興。,芸能,2.0,"芸能,音楽,ジャズ"
世界三大テノールとして知られたのは、パヴァロッティ、ドミンゴと、もう一人は誰でしょう？,カレーラス,José Carreras。1990年W杯前夜祭コンサートで共演。スペイン出身。,芸能,2.5,"芸能,音楽,クラシック"
日本のテレビ放送が開始されたのは西暦何年でしょう？,1953年,NHKが2月1日に本放送開始。日本テレビは8月28日。,芸能,2.5,"芸能,テレビ,歴史"
アメリカのテレビ・音楽・映画・演劇の4大賞を全て制覇した人に与えられる称号を、それぞれの賞の頭文字をとってアルファベット4文字で何というでしょう？,EGOT（イーゴット）,Emmy Grammy Oscar Tony の頭文字。達成者は少数。,芸能,3.0,"芸能,芸能全般,賞"
第92回アカデミー賞で英語以外の映画として初めて作品賞を受賞した、ポン・ジュノ監督の韓国映画は何でしょう？,パラサイト 半地下の家族,Parasite / 기생충。カンヌでパルム・ドールも受賞。韓国映画の歴史的快挙。,芸能,2.0,"芸能,映画,韓国"
写真のように現実の風景を正確に描く絵画の技法を何というでしょう？,写実主義（しゃじつしゅぎ）,realism。クールベが先駆者。「石割り」「オルナンの埋葬」が代表作。,芸能,2.5,"芸能,芸術,美術"
バレエの基本技術で、両足を外側に180度に近く開く独特の足の使い方を何というでしょう？,ターンアウト,turnout（アン・ドゥオール）。バレエの全ての動きの基礎。股関節から外旋。,芸能,2.5,"芸能,舞台,バレエ"
日本で最も歴史のある映画賞で、毎日新聞社が主催する映画賞は何でしょう？,毎日映画コンクール,1946年創設。日本最古の映画賞。大藤信郎賞（アニメ部門）もある。,芸能,3.0,"芸能,映画,賞"
日本のテレビドラマの放送期間で、4月〜6月のように約3ヶ月を1単位とする区切りを何というでしょう？,1クール（ワンクール）,フランス語couprが語源という説。13週間。年4クール（1月・4月・7月・10月）。,芸能,2.0,"芸能,テレビ,用語"
ヨハン・シュトラウス2世が作曲した「美しく青きドナウ」は、どのような舞曲のジャンルでしょう？,ワルツ,waltz。3拍子の舞曲。ウィーンの舞踏会で演奏。「ワルツ王」の異名。,芸能,2.0,"芸能,音楽,クラシック"
オペラで、登場人物が劇の進行の中で歌う独唱曲を何というでしょう？,アリア,aria。叙唱（レチタティーヴォ）と交互に配置される。見せ場の歌。,芸能,2.0,"芸能,音楽,クラシック"
映画「ゴッドファーザー」でドン・コルレオーネ役、「地獄の黙示録」でカーツ大佐役を演じた、メソッド演技法の代表的なアメリカの俳優は誰でしょう？,マーロン・ブランド,Marlon Brando。メソッド演技法の代表的俳優。アカデミー主演男優賞2回。,芸能,2.5,"芸能,映画,アメリカ"
吉本興業の本社がある都道府県はどこでしょう？,大阪府（おおさかふ）,1912年設立。なんばグランド花月が代表的劇場。お笑いの総本山。,芸能,2.0,"芸能,お笑い,日本"
リヒャルト・ワーグナーが提唱した、音楽・演劇・美術を融合した総合芸術としてのオペラの概念をドイツ語で何というでしょう？,総合芸術（ゲザムトクンストヴェルク）,Gesamtkunstwerk。バイロイト祝祭劇場で上演。「ニーベルングの指環」が代表作。,芸能,3.0,"芸能,音楽,クラシック"
日本のミュージシャンで、「TSUNAMI」「いとしのエリー」などのヒット曲がある、桑田佳祐率いるバンドは何でしょう？,サザンオールスターズ,1978年デビュー。「勝手にシンドバッド」で衝撃デビュー。国民的バンド。,芸能,2.0,"芸能,音楽,J-POP"
「世界に一つだけの花」がシングル売上300万枚を突破した、日本の男性アイドルグループは何でしょう？,SMAP（スマップ）,2016年解散。ジャニーズ事務所所属。国民的アイドルグループ。,芸能,2.0,"芸能,音楽,J-POP"
1963年に放送が開始された、手塚治虫原作の日本初の連続テレビアニメシリーズは何でしょう？,鉄腕アトム（てつわんアトム）,虫プロダクション制作。毎週30分放送。日本のテレビアニメの原点。,芸能,2.0,"芸能,テレビ,アニメ"
映画でアカデミー賞の主演女優賞を史上最多の4回受賞した女優は誰でしょう？,キャサリン・ヘプバーン,Katharine Hepburn。受賞作：勝利の朝、招かれざる客、冬のライオン、黄昏。,芸能,2.5,"芸能,映画,賞"
日本の能の舞台で、正面奥に描かれている松の絵を何というでしょう？,鏡板（かがみいた）,影向の松を描く。春日大社の松に由来。能舞台の象徴的装飾。,芸能,3.0,"芸能,伝統芸能,能"
「ラ・ボエーム」「蝶々夫人」「トスカ」などのオペラで知られるイタリアの作曲家は誰でしょう？,プッチーニ,Giacomo Puccini。ヴェリズモ・オペラの代表的作曲家。「トゥーランドット」が遺作。,芸能,2.0,"芸能,音楽,クラシック"
ブロードウェイ・ミュージカルの最高の栄誉とされるアメリカの演劇賞で、正式名を「アントワネット・ペリー賞」という賞は何でしょう？,トニー賞,Tony Awards。毎年6月に授賞式。演劇・ミュージカル部門がある。,芸能,2.5,"芸能,舞台,賞"
映画「風と共に去りぬ」でスカーレット・オハラを演じ、アカデミー主演女優賞を受賞したイギリス出身の女優は誰でしょう？,ヴィヴィアン・リー,Vivien Leigh。1939年公開。「欲望という名の電車」でも同賞受賞。,芸能,2.5,"芸能,映画,アメリカ"
日本の伝統的な大衆演劇で、「忠臣蔵」「勧進帳」などの演目で知られ、男性だけで演じられる舞台芸術は何でしょう？,歌舞伎（かぶき）,2005年ユネスコ無形文化遺産。市川團十郎・尾上菊五郎などの名跡。400年以上の歴史。,芸能,2.0,"芸能,伝統芸能,歌舞伎"
「月光」「悲愴」「熱情」の3曲がベートーヴェンの三大ピアノソナタと呼ばれますが、このうち第14番の通称は何でしょう？,月光（げっこう）,Moonlight Sonata。嬰ハ短調。第1楽章の静かなアルペジオが有名。,芸能,2.0,"芸能,音楽,クラシック"
韓国のアイドルグループを総称して何ポップというでしょう？,K-POP（ケーポップ）,Korean Pop。BTS・BLACKPINK等が世界的人気。韓流の中核。,芸能,2.0,"芸能,音楽,K-POP"
映画やテレビドラマで、俳優のクレジット表記の順番を指す業界用語で、最上位に表示されることを何というでしょう？,トップビリング,top billing。主演俳優に与えられる。ポスターで最も大きく表示される名前。,芸能,2.5,"芸能,映画,用語"
テレビ番組の収録で、観客の笑い声を後から録音して足す手法を何というでしょう？,ラフトラック,laugh track。笑い屋とも。チャールズ・ダグラスが開発。シチュエーションコメディで多用。,芸能,2.5,"芸能,テレビ,技術"
「G線上のアリア」として知られる管弦楽組曲第3番を作曲した、バロック音楽を代表するドイツの作曲家は誰でしょう？,バッハ,Johann Sebastian Bach。「音楽の父」。平均律クラヴィーア曲集も代表作。,芸能,2.0,"芸能,音楽,クラシック"
日本の漫才で、毎年12月に開催されるM-1グランプリに出場できるのは結成何年以内のコンビでしょう？,15年以内（じゅうごねんいない）,2019年大会から15年以内に変更（以前は10年）。プロ・アマ不問。,芸能,2.5,"芸能,お笑い,日本"
クラシック音楽の演奏形態で、管楽器・弦楽器・打楽器からなる大規模な合奏団を何というでしょう？,オーケストラ,orchestra。交響楽団・管弦楽団とも。フルオーケストラは約100名規模。,芸能,2.0,"芸能,音楽,クラシック"
「となりのトトロ」「もののけ姫」などの作品で知られ、スタジオジブリの共同創設者でもあるアニメーション映画監督は誰でしょう？,宮崎駿（みやざきはやお）,2023年「君たちはどう生きるか」で二度目のアカデミー長編アニメ映画賞受賞。,芸能,2.0,"芸能,映画,日本"
フラメンコの発祥地として知られる、スペイン南部の地方はどこでしょう？,アンダルシア,Andalucía。セビリア・グラナダが中心都市。ギター・歌・踊りの三位一体。,芸能,2.5,"芸能,音楽,ダンス"
