問題文,答え,メモ,ジャンル,難易度,タグ
"いずれも寂蓮法師(じゃくれんほうし）が詠んだ、小倉百人一首の「むらさめの」の歌と、「三夕の歌（さんせきのうた）」の一つ「寂しさは」の歌の、第五句に詠まれている、ある季節と時間帯を指す情景はなんでしょう。","秋の夕暮れ","","文系学問","中","文系学問, 百人一首, 古典"
"京都嵐山の北に位置する山であり、藤原定家（ふじわらのさだいえ）はここにある山荘で小倉百人一首を撰（せん）したとされ、貞信公（ていしんこう）は「みねのもみぢば こころあらば」と詠んだ山はなんでしょう。","小倉山（おぐらやま）","「峰のもみぢ葉 心あらば」藤原忠平（貞信公）の歌
藤原定家は（ふじわらのていか）でも可","文系学問","中","文系学問, 百人一首, 地理"
"父の後鳥羽院（ごとばいん）とともに承久の乱を起こした人物で、その五年前に、宮中（きゅうちゅう）の荒廃に対する嘆きを詠んだ「ももしきや 古き軒端（のきば）の しのぶにも」は小倉百人一首の100番に収められている歌人は誰でしょう。","順徳院（じゅんとくいん）","百人一首は天智天皇に始まり順徳院に終わる。宮中の荒廃を嘆く歌。","文系学問","中","文系学問, 百人一首, 歴史"
"近江神宮の境内にある施設で、毎年一月に競技かるたの名人位・クイーン位決定戦が行われる建物は何でしょう？","近江勧学館（おうみかんがくかん）
○勧学館（かんがくかん）","漫画「ちはやふる」にも登場。天智天皇は日本初の水時計を作り「時の祖神」としても知られる。1940年創建。","文系学問","中","文系学問, 百人一首, 地理"
"若くして亡くなった娘を悼（いた）んだ「とどめおきて」の和歌や、敦道親王（あつみちしんのう）との恋愛を綴（つづ）った日記で有名な人物で、小倉百人一首には、病に伏した際に詠んだ「あらざらむ」が選ばれた歌人は誰でしょう。","和泉式部（いずみしきぶ）","娘→小式部内侍のこと","文系学問","中","文系学問, 百人一首, 古典"
"桓武（かんむ）天皇の孫であり、小倉百人一首には息子の素性法師（そせいほうし）と共に選ばれている、出家前は良岑宗貞（よしみねのむねさだ）と名乗った六歌仙の一人で、「天つ風」の作者であるのは誰でしょう？","僧正遍昭（そうじょうへんじょう）","五節の舞姫の美しさに感じて詠んだ歌。息子の素性法師も百人一首21番に選ばれ親子で入集。","文系学問","中","文系学問, 百人一首, 古典"
"小倉百人一首においては、「花の色は」「長からむ」「玉の緒よ」「由良の門を」など、多くの歌で用いられている、意味的に関連する言葉を和歌の中に散りばめる修辞技法（しゅうじぎほう）を何というでしょう？","縁語（えんご）","","文系学問","中","文系学問, 百人一首, 修辞"
"最終番の「恋（こい）」の題で、平兼盛（たいらのかねもり）と壬生忠見（みぶのただみ）が争い、接戦の末敗北した壬生忠見はそのショックで食を断ち衰弱死したという逸話が残る、村上天皇によって行われた歌合（うたあわせ）はなんでしょう。","天徳内裏歌合（てんとくだいりうたあわせ）","ともに小倉百人一首にある「しのぶれど」と「こひすてふ」で争った。
両者の歌が甲乙つけがたく、最終的に村上天皇が兼盛の歌を小声で口ずさんだのを見て実頼が左（兼盛）の勝ちと判定した","文系学問","中","文系学問, 百人一首, 古典"
"歴史書「大鏡」では、漢詩・管弦・和歌すべてに秀でた「三船の才（さんせんのさい）」の逸話が知られる平安中期の公卿（くぎょう）で、小倉百人一首には「滝の音は 絶えて久しく なりぬれど」を残している歌人は誰でしょう？","藤原公任（ふじわらのきんとう）
○大納言公任（だいなごんきんとう）","「大納言公任」として百人一首に載る。歌論書「新撰髄脳」の著者。三十六歌仙の選者。
三船の才は三舟の才の表記もあり。","文系学問","中","文系学問, 百人一首, 古典"
"藤原基経（ふじわら の もとつね）との対立の末に17歳にして退位に追い込まれ、長寿でもあったため上皇の期間が65年と歴代最長である人物で、妃の一人に宛てた情熱的な恋歌「筑波嶺（つくばね）の」が小倉百人一首に採用されているのは誰でしょう。","陽成院（ようぜいいん）
○陽成天皇","光孝天皇（15番）に皇位を譲った。「恋ぞつもりて 淵となりぬる」。退位当時わずか17歳。","文系学問","中","文系学問, 百人一首, 歴史"
"小倉百人一首では、能因法師（のういんほうし）と在原業平（ありわらのなりひら）の歌に共通して詠まれている、古くから紅葉の名所として知られる奈良県の川は何でしょう？","竜田川（たつたがわ）","17番「ちはやぶる 神代もきかず」69番「嵐吹く 三室の山の」。百人一首で同じ川が二度詠まれた例。","文系学問","中","文系学問, 百人一首, 地理"
"「安積山（あさかやま）の歌」と共に「手習いの手本」として知られている歌で、競技かるたでは公式に序歌として試合の冒頭で読まれることでも知られる、王仁（わに）の作とされる和歌はなんでしょう。","難波津の歌（なにわづのうた）
○「難波津に  咲くやこの花  冬ごもり  今を（は）春べと  咲くやこの花」（全文でも正解とする）","「難波津に 咲くやこの花 冬ごもり 今は春べと 咲くやこの花」。王仁（わに）が仁徳天皇に贈ったとされる。","文系学問","中","文系学問, 百人一首, 競技かるた"
"第一回のサブタイトルは「めぐりあひて」、最終回のサブタイトルは「今は春辺と」であった、百人一首好きの主人公「こい」が「大江戸かるた腕競べ」に出場し、初恋や様々な出会いを通じて成長していく姿を描いた、2010年放送のNHK土曜時代劇は何でしょう？","咲くやこの花（さくやこのはな）","NHK総合テレビ土曜時代劇。文化文政の江戸が舞台。タイトルは競技かるたの序歌「難波津に咲くやこの花」に由来。","芸能","中","芸能, 百人一首, テレビドラマ"
"小倉百人一首では100首中最多の43首を占める、勅撰和歌集の部立てに基づく分類の一つで、万葉集における「相聞歌」に相当するものはなんでしょう。","恋（こい）
○恋歌（こいか/れんか/こいうた）、○恋の歌なども可","","文系学問","中","文系学問, 百人一首, 万葉集"
"教育者の向山洋一（むこうやまよういち）が考案しTOSS（トス）を中心に全国の小学校で普及している、小倉百人一首を二十枚ずつのグループに色分けした教育用かるたを何というでしょう？","五色百人一首（ごしょくひゃくにんいっしゅ）","青・桃・黄・緑・橙の5色に各20首を分ける。向山洋一が考案した学校向け百人一首教材。","ライフスタイル","中","ライフスタイル, 百人一首, 教育"
"日本投扇興連盟（にほんとうせんきょうれんめい）の銘定（めいてい）では、御垣守（みかきもり）とともに50点の銘（めい）となっている、小式部内侍（こしきぶのないし）が詠んだ百人一首の和歌にも登場する、丹後国（たんごのくに）にある山は何でしょう。","大江山（おおえやま）","大江山いく野の道の遠ければまだふみも見ず天橋立","ライフスタイル","中","ライフスタイル, 百人一首, 伝統遊戯"
"後京極摂政前太政大臣（ごきょうごくせっしょうさきのだいじょうだいじん）の歌に詠まれる、小倉百人一首に唯一登場する虫であり、現代におけるコオロギのことをさす、童謡「虫のこえ」の原典歌詞では「きりきりきりきり」と鳴くと記されている虫はなんでしょう。","きりぎりす","百人一首91番「きりぎりす鳴くや霜夜のさむしろに衣かたしきひとりかも寝む」。古語と現代語で指す虫が入れ替わっている。
原典歌詞（1910年）","文系学問","中","文系学問, 百人一首, 古典"
"小倉百人一首では、左京大夫道雅（さきょうだいぶみちまさ）、藤原義孝（ふじわらのよしたか）、和泉式部（いずみしきぶ）の歌に共通して使用されている、切ない願望を表す終助詞は何でしょう？","もがな","56番和泉式部「あらざらむ　この世の外の　思ひ出に　今ひとたびの　逢ふこともがな」
63番左京大夫道雅「今はただ　思ひ絶えなむ　とばかりを　人づてならで　言ふよしもがな」
も（係助詞）＋がな（終助詞） という説もあり","文系学問","中","文系学問, 百人一首, 古典文法"
"他の女のもとへ通う夫・藤原兼家（ふじわらのかねいえ）への嫉妬と嘆きを詠んだ「嘆きつつ ひとり寝（ぬ）る夜の 明くる間は」の和歌や、その苦悩を綴った「蜻蛉日記（かげろうにっき）」の作者であることで知られる人物は誰でしょう。","右大将道綱母（うだいしょうみちつなのはは）
○藤原道綱の母（ふじわらのみちつなのはは）","本名不詳。息子の藤原道綱が右大将を務めたことからこの呼び名がつく。","文系学問","中","文系学問, 百人一首, 古典"
"「石に寄（よ）する恋」というお題で詠まれた歌で、これを詠んだ二条院讃岐（にじょういんのさぬき）は、「沖の石の讃岐」の異名で呼ばれるようになった、小倉百人一首の第92番に収められている和歌はなんでしょう。","わが袖は 潮干（しおひ）に見えぬ 沖の石の 人こそしらね かわくまもなし","「人こそ知らね 乾く間もなし」と涙で袖が常に濡れている情景。","文系学問","中","文系学問, 百人一首, 古典"
"久しぶりの初瀬詣（はつせもうで）で、かつての定宿（じょうやど）を訪れた際に、宿の主人からご無沙汰を遠回しに皮肉られたことへの切り返しとして詠んだ、小倉百人一首の35番にあたる、紀貫之（きのつらゆき）の和歌は何でしょう。","人はいさ 心も知らず ふるさとは 花ぞむかしの 香ににほひける","紀貫之は古今集の撰者の一人。「男もすなる日記といふものを」で始まる土佐日記で有名。","文系学問","中","文系学問, 百人一首, 古典"
"「梨壺（なしつぼ）の五人」の一人として、『万葉集』の訓読作業や『後撰和歌集（ごせんわかしゅう）』の編纂（へんさん）に当たった人物で、祖父の深養父（ふかやぶ）、娘の清少納言とともに三世代で小倉百人一首に選ばれている、自身は42番の「契りきな」を詠んだ歌人は誰でしょう。","清原元輔（きよはらのもとすけ）","祖父の深養父（36番）・自身（42番）・娘の清少納言（62番）と三世代で百人一首に入集。
「梨壺の五人」は他に49番の大中臣能宣（おおなかとみのよしのぶ）がいる","文系学問","中","文系学問, 百人一首, 古典"
"小倉百人一首の小式部内侍（こしきぶのないし）の歌では「まだふみもみず」に続く結句に詠まれている、松島・厳島（いつくしま）とともに日本三景に数えられる景勝地は何でしょう？","天の橋立（あまのはしだて）","「ふみもみず」には「踏みもせず」と「文も見ず」の掛詞。母は丹後にいた和泉式部。","文系学問","中","文系学問, 百人一首, 地理"
"百枚の取り札を向きを揃えずばらばらに広げ、通常のカルタと同じ要領で最も多く札を取った人が勝ちとなる、大人数でも遊べる百人一首の遊び方を一般に何というでしょう？","散らし取り（ちらしどり）
○お散らし","正式な競技かるたとは異なりルールが緩やか。大人数でも遊べるため家庭や学校で広く親しまれている。","文系学問","中","文系学問, 百人一首, 遊び"
"比叡山の天台座主（てんだいざす）を4度務めた高僧で、歴史書「愚管抄（ぐかんしょう）」の著者としても知られ、百人一首95番「おほけなく うき世の民に おほふかな」を詠んだのは誰でしょう？","慈円（じえん）","百人一首では「前大僧正慈円」として載る。「わが立つ杣（そま）に 墨染の袖」。","文系学問","中","文系学問, 百人一首, 歴史"
"学者の最高位である文章博士（もんじょうはかせ）に就き右大臣にまで昇りつめるも、藤原時平（ふじわらのときひら）の讒言（ざんげん）により大宰府に左遷され、没後の清涼殿（せいりょうでん）落雷事件などの災いが彼の怨霊の仕業とされた、小倉百人一首では「このたびは ぬさもとりあへず 手向山」の歌で知られる人物は誰でしょう。","菅原道真（すがわらのみちざね）","百人一首では「菅家」と表記。「このたびは 幣もとりあへず 手向山」。日本三大怨霊の一人。","文系学問","中","文系学問, 百人一首, 歴史"
"横幅は87センチメートル、縦幅は隙間を含む札三段分である各々の陣の外周の各辺のことで、出札を完全にこの外側に押し出すことで「札押しの取り」が成立する線を何というでしょう？","競技線（きょうぎせん）","隙間は1センチメートルと決まっていますが、問題のくどさ回避のため省略しています。","文系学問","中","文系学問, 百人一首, 競技かるた"
"もみ合いの末に床屋の鏡が割れた際の熊五郎のセリフ「割れても末に 買わんとぞ思う」というサゲや、若旦那の恋煩いの相手を探す際の「瀬をはやみー！」の叫びは、演目名の歌人の和歌が由来となっている、古典落語の演目はなんでしょう。","崇徳院 （すとくいん）
○皿屋（さらや）、○花見扇（はなみおうぎ）","サゲの「買わん」は「逢はむ」の洒落であると同時に、「末」は月末を意味し、江戸時代に一般的だった三十日払い（みそかばらい）で鏡代を払うという意味も含んでいます。","芸能","易",""
"キャッチコピーは「待っとれ 死んでも守ったる―――」「ふたひらの運命を引き裂く哀しき歌―紅に染まる巡恋（チェインドラブ）ミステリー」である、大岡紅葉（おおおかもみじ）の劇場版初登場となった名探偵コナンの映画のタイトルは何でしょう。","名探偵コナン から紅の恋歌（からくれないのラブレター）
から紅の恋歌のみでも○","","アニメ&ゲーム","易",""
"雛人形の内裏雛（だいりびな）が座る台座にも用いられ、小倉百人一首の読み札においては天皇や上皇など皇族の人物の台座に描かれている、色彩豊かで伝統文様が施された、最も格式が高いとされる畳縁（たたみべり）のことをなんというでしょう。","繧繝縁（うんげんべり）
○うげんべり、○うんげいべり","高麗縁（親王・大臣以下）、紫縁（五位以上）、黄縁（六位以下）と続く格式の序列がある。","ライフスタイル","中",""
"2026年の歌会始（うたかいはじめ）の儀では、外国籍の人物として初めて召人（めしうど）を務めた、小倉百人一首の英訳で知られるアイルランド出身の日本文学者は誰でしょう。","（ピーター・J・）マクミラン
○マックミラン","前年には召人控を務めた。アイルランドとイギリスの国籍を持つ。
召人とは、歌会始の儀において天皇陛下から特別に招かれて歌を詠む人物のこと","文系学問","難",""
"夜が明けても空に残っていることから、これを詠んだ和歌では寂寥感（せきりょうかん）や名残惜しさといった情趣（じょうしゅ）を帯びることが多い、小倉百人一首では素性法師（そせいほうし）、壬生忠岑（みぶのただみね）、坂上是則（さかのうえのこれのり）、後徳大寺左大臣（ごとくだいじのさだいじん）の歌に共通して詠まれているのはどんな月でしょう。","有明の月（ありあけのつき）","","文系学問","中",""
"漢字では「片身」や「形見」と同じ読みで「互いに」という意味を持つ古語で、小倉百人一首では、清原元輔（きよはらのもとすけ）の「ちぎりきな」に続いて詠まれる言葉は何でしょう。","かたみに","","文系学問","中",""
"漫画「ちはやふる」では、小石川秀作（こいしがわしゅうさく）の勤め先としても描かれる、京都市に本社を置くかるたの製造卸販売（せいぞうおろしはんばい）の老舗（しにせ）企業といえばなんでしょう。","大石天狗堂（おおいしてんぐどう）","","文系学問","難",""
"現在は五味朋子（ごみともこ）などがこの資格を持ち、四段以上の段位とA級公認読手として5年以上の実績が必要な、名人位・クイーン位決定戦で読手を務めることができる最上位の資格は何でしょう。","専任読手（せんにんどくしゅ）","","文系学問","中",""
"「日本書紀」では中大兄皇子（なかのおおえのおうじ）として大化の改新を主導し、即位後は近江大津宮（おうみおおつのみや）に遷都したことで知られる、小倉百人一首の巻頭を飾る「秋の田の かりほの庵の 苫をあらみ」を詠んだとされる人物は誰でしょう。","天智天皇（てんじてんのう）","百人一首は天智天皇に始まり順徳院に終わる。万葉集では作者不詳の類歌として載る。","文系学問","中","文系学問, 百人一首, 歴史"
"「新古今和歌集」の撰者の一人であり、小倉山の山荘で百首の和歌を色紙にしたためたことが小倉百人一首の始まりとされる、自身も97番「来ぬ人を まつほの浦の 夕なぎに」の歌を残している歌人は誰でしょう。","藤原定家（ふじわらのさだいえ）
○ふじわらのていか、○権中納言定家（ごんちゅうなごんさだいえ）","明月記（めいげつき）の著者。百人一首の正式名称は小倉百人一首で、小倉山の山荘に由来する。","文系学問","中","文系学問, 百人一首, 古典"
"競技かるたにおいて、上の句の最初の一文字だけで下の句が確定する札を一字決まりといいますが、この一字決まりの7枚の頭文字を並べた覚え方として知られる語呂合わせは何でしょう。","むすめふさほせ","む＝村雨の、す＝住の江の、め＝巡りあひて、ふ＝吹くからに、さ＝寂しさに、ほ＝ほととぎす、せ＝瀬をはやみ","文系学問","中","文系学問, 百人一首, 競技かるた"
"小野小町の「花の色は」における「ながめ」が「長雨」と「眺め」の二つの意味を持つことや、小式部内侍の「大江山」における「ふみもみず」が「踏みもせず」と「文も見ず」の二つの意味を持つことが有名な、一つの言葉に二重の意味を込める和歌の修辞技法を何というでしょう。","掛詞（かけことば）","百人一首では数多くの歌に用いられている代表的な修辞技法。","文系学問","中","文系学問, 百人一首, 修辞"
"「伊勢物語」の主人公「昔男」のモデルとされ、古今和歌集の仮名序（かなじょ）では「その心余りて言葉足らず」と評された六歌仙の一人で、小倉百人一首では17番「ちはやぶる 神代もきかず 竜田川」を詠んだことで知られる歌人は誰でしょう。","在原業平（ありわらのなりひら）","兄の在原行平（16番）と連番で並ぶ。六歌仙・三十六歌仙の一人。","文系学問","中","文系学問, 百人一首, 古典"
"一条天皇の中宮・彰子（しょうし）に仕え、宮中での生活を綴った「紫式部日記」や、世界最古の長編小説ともいわれる「源氏物語」の作者として知られる、小倉百人一首57番「めぐりあひて 見しやそれとも わかぬまに」を詠んだ歌人は誰でしょう。","紫式部（むらさきしきぶ）","本名不詳。娘の大弐三位（58番）と連番で並ぶ。2024年NHK大河ドラマ「光る君へ」の主人公。","文系学問","中","文系学問, 百人一首, 古典"
"在原業平の「ちはやぶる 神代もきかず 竜田川 からくれなゐに 水くくるとは」を題材に、ご隠居が横綱「竜田川」を振った花魁（おいらん）の「千早」と「神代」の物語として珍解釈を披露する、古典落語の演目は何でしょう。","千早振る（ちはやふる）","サゲは演者により異なるが、千早が落ちぶれた後に竜田川と再会し身を投じる→「とは」に落とすのが代表的な型。","芸能","易","芸能, 百人一首, 落語"
"嵯峨（さが）天皇の皇子でありながら臣籍降下（しんせきこうか）して源姓を賜（たまわ）り、京都の六条河原院（ろくじょうかわらのいん）に陸奥国（むつのくに）塩竈の浦（しおがまのうら）の景色を模した庭園を造ったことで知られる、「源氏物語」の光源氏のモデルの一人ともされ、小倉百人一首14番「陸奥の しのぶもぢずり 誰ゆゑに」を詠んだ歌人は誰でしょう。","河原左大臣（かわらのさだいじん）
○源融（みなもとのとおる）","六条河原院は光源氏の六条院のモデルとされる。「乱れそめにし われならなくに」。","文系学問","難","文系学問, 百人一首, 歴史"
"主人公の綾瀬千早（あやせちはや）が幼なじみの綿谷新（わたやあらた）の影響で競技かるたに出会い、仲間とともに全国大会やクイーンの座を目指す姿を描いた、タイトルが小倉百人一首の在原業平の歌の枕詞に由来する、末次由紀（すえつぐゆき）の漫画は何でしょう。","ちはやふる","BE・LOVE（講談社）で2007年から2022年まで連載。実写映画は広瀬すず主演。アニメも3期まで放送された。","アニメ＆ゲーム","易","アニメ＆ゲーム, 百人一首, 漫画"
"清原元輔（きよはらのもとすけ）が42番で「契りきな かたみに袖を しぼりつつ」と詠んだ歌の中で、「波もこさじの」と永遠に変わらぬ誓いの象徴として登場する、古来の大津波でも波が越えなかったという伝説から「ありえないこと」の比喩に用いられた、現在の宮城県多賀城市（たがじょうし）にある歌枕はどこでしょう。","末の松山（すえのまつやま）","古今和歌集の東歌「君をおきてあだし心をわが持たば末の松山浪も越えなむ」が有名。東日本大震災でも周辺が浸水する中この地は津波を免れた。","文系学問","中","文系学問, 百人一首, 地理"
