問題文,答え,メモ,ジャンル,難易度,タグ
19世紀のクリケットで1人の投手が3球連続で打者を退場させると観客から帽子を贈られた慣習に語源が求められるとされ、サッカーなどで1人の選手が同一試合内に3得点以上する快挙に使われる言葉は何でしょう？,ハットトリック,語源はクリケット（諸説あり）。サッカーでは特に有名な用語。,スポーツ,4,"短文基本,スポーツ,サッカー,用語"
チラコイドでの光反応とカルビン回路による暗反応という2段階で構成され、植物や藻類が光エネルギーを使って二酸化炭素と水から糖類を合成する、生命の根幹を支える代謝プロセスを何というでしょう？,光合成,真核生物の植物は葉緑体で行う。酸素が副産物として放出される。,理系学問,3,"短文基本,生物,植物,代謝"
タンザニア・ザンジバル島出身のインド系パルシー家庭に生まれ、ロックバンド「クイーン」のリードボーカルとして「ボヘミアン・ラプソディ」「ウィ・ウィル・ロック・ユー」などを世に送り出したが、1991年にエイズ関連疾患で45歳にして世を去ったミュージシャンは誰でしょう？,フレディ・マーキュリー,1991年11月24日没。ザンジバル生まれのインド系パルシー教徒。,芸能,5,"短文基本,音楽,ロック,クイーン"
19世紀後半にポーランドの眼科医ルドヴィコ・ラザロ・ザメンホフが、民族・国家を超えた国際共通語として考案した人工言語で、「希望をもたらす者（エスペランタ）」を意味する名称を持ち、現在も世界に数百万の話者がいるとされる言語は何でしょう？,エスペラント,1887年にザメンホフが発表。現存する人工言語の中で最も普及している。,ノンジャンル,6,"短文基本,言語,文化,国際"
ドラゴンクエストシリーズのキャラクターデザインを担当した鳥山明（とりやまあきら）が創り出し、青いゼリー状の体と丸くつぶらな目を持つ、シリーズ全作品に登場するシンボル的な弱い敵キャラクターは何でしょう？,スライム,ドラクエシリーズの象徴。鳥山明デザイン。弱いが愛着のある存在として定着。,アニメ&ゲーム,4,"短文基本,ゲーム,ドラクエ,モンスター"
ヘブライ語で「安息（あんそく）」という意味の言葉に由来し、もともとは大学の教員が研究に専念するために定期的に授業を免除される制度を指していたが、近年は企業が従業員に与える長期の有給休暇や自己研鑽（じこけんさん）期間にも使われるようになった言葉は何でしょう？,サバティカル,ヘブライ語「シャバット（安息）」に由来。大学制度が起源。,ライフスタイル,5,"短文基本,ライフスタイル,働き方,教育"
1215年にイングランド王ジョン1世が貴族の強制によって署名した文書で、国王の恣意的な課税や逮捕を制限し、法の支配の原則を定めた近代立憲主義の源流ともされる文書はラテン語で「大憲章」を意味する何でしょう？,マグナカルタ,1215年6月15日、ラニーミードでジョン王が署名。近代民主主義の礎ともされる。,文系学問,5,"短文基本,歴史,イギリス,法律"
もともとフランス宮廷で食器・飲食物の管理を担う役職に由来し、現在では飲食店でワインの適切な保存・サービスや料理との相性（マリアージュ）のアドバイスを行う専門家を指す職種名は何でしょう？,ソムリエ,フランス宮廷の「侍従」が語源。日本ではソムリエール（女性）と区別する場合もある。,ライフスタイル,4,"短文基本,ライフスタイル,グルメ,ワイン"
1980年にオランダ・ハーグの国際私法会議で採択され、親権紛争による国境をまたいだ子供の連れ去りに対して、元の居住国への原則返還を締約国に義務づけた子の保護に関する条約の通称は何でしょう？,ハーグ条約,正式名称「国際的な子の奪取の民事上の側面に関する条約」。日本は2013年加盟。,社会,6,"短文基本,社会,国際法,条約"
スクウェアが当初NINTENDO64向けに開発していたが最終的にソニーのPlayStationで1997年に発売し、主人公・クラウド・ストライフが環境テロ組織アバランチとともに魔晄炉（まこうろ）を爆破するところから始まる人気RPGシリーズの第7作は何でしょう？,ファイナルファンタジーVII（FF7）,1997年1月31日PS版発売（日本）。FF史上初の3DCGムービーを採用。,アニメ&ゲーム,5,"短文基本,ゲーム,スクウェア,RPG"
